experiment_id,organism_name,treatment_type,background_factors,omics_type,compartment,table_scope,table_scope_detail,is_time_course,coculture_partner,gene_count,distinct_gene_count,genes_by_status_significant_up,genes_by_status_significant_down,growth_phases,publication_doi,publication_title,experiment_name,treatment,control
10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,Prochlorococcus MED4,carbon,coculture | light,PROTEOMICS,whole_cell,all_detected_genes,,False,,327,327,8,18,stationary,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,MED4 proteomics: light +5 mM glucose vs light (control),Light + 5 mM glucose addition,Light (no glucose)
10.1128/msystems.01261-22_kujawinski_metabolomics_0801_extracellular,Prochlorococcus MIT0801,growth_phase,axenic,METABOLOMICS,extracellular,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT0801 metabolite diversity (extracellular pool),replete (Pro99),n/a
10.1128/msystems.01261-22_kujawinski_metabolomics_0801_whole_cell,Prochlorococcus MIT0801,growth_phase,axenic,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT0801 metabolite diversity (intracellular pool),replete (Pro99),n/a
10.1128/mbio.03425-22_thermal_acclimation_mit9301_rnaseq,Prochlorococcus MIT9301,temperature,axenic | diel,RNASEQ,whole_cell,,,False,,0,0,0,0,,10.1128/mbio.03425-22,Transcriptional Mechanisms of Thermal Acclimation in Prochlorococcus,MIT9301 long-term thermal acclimation RNA-seq across 5 temperatures,"Long-term thermal acclimation (17, 20, 22, 25, 30C)",Multi-temperature comparison (17-30C) — pairwise contrasts
10.1128/msystems.01261-22_kujawinski_metabolomics_9301_extracellular,Prochlorococcus MIT9301,phosphorus,axenic,METABOLOMICS,extracellular,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT9301 metabolite diversity (extracellular pool),replete + P-limited,replete (Pro99)
10.1128/msystems.01261-22_kujawinski_metabolomics_9301_whole_cell,Prochlorococcus MIT9301,phosphorus,axenic,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT9301 metabolite diversity (intracellular pool),replete + P-limited,replete (Pro99)
10.1073/pnas.2213271120_chitosan_addition_mit9303_rnaseq,Prochlorococcus MIT9303,carbon,axenic | light,RNASEQ,whole_cell,significant_only,,False,,25,25,7,7,exponential,10.1073/pnas.2213271120,Chitin utilization by marine picocyanobacteria and the evolution of a planktonic lifestyle,"MIT9303 chitosan addition RNA-seq (primary degrader, full pathway)",Chitosan addition (56 ug/mL in Pro99 AMP1 medium),Pro99 AMP1 medium without chitosan
10.1073/pnas.2213271120_chitosan_addition_mit9303_metabolomics,Prochlorococcus MIT9303,carbon,axenic | light,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1073/pnas.2213271120,Chitin utilization by marine picocyanobacteria and the evolution of a planktonic lifestyle,MIT9303 chitosan addition — intracellular metabolomics,Chitosan addition (56 ug/mL in Pro99 AMP1 medium),Pro99 AMP1 medium without chitosan
10.1073/pnas.2213271120_chitosan_addition_mit9313_rnaseq,Prochlorococcus MIT9313,carbon,axenic | light,RNASEQ,whole_cell,significant_only,,False,,72,72,28,16,exponential,10.1073/pnas.2213271120,Chitin utilization by marine picocyanobacteria and the evolution of a planktonic lifestyle,"MIT9313 chitosan addition RNA-seq (secondary degrader, partial pathway)",Chitosan addition (56 ug/mL in Pro99 AMP1 medium),Pro99 AMP1 medium without chitosan
10.1073/pnas.2213271120_chitosan_addition_mit9313_metabolomics,Prochlorococcus MIT9313,carbon,axenic | light,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1073/pnas.2213271120,Chitin utilization by marine picocyanobacteria and the evolution of a planktonic lifestyle,MIT9313 chitosan addition — intracellular metabolomics,Chitosan addition (56 ug/mL in Pro99 AMP1 medium),Pro99 AMP1 medium without chitosan
10.1128/msystems.01261-22_kujawinski_metabolomics_9313_extracellular,Prochlorococcus MIT9313,growth_phase,axenic,METABOLOMICS,extracellular,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT9313 metabolite diversity (extracellular pool),replete (Pro99),n/a
10.1128/msystems.01261-22_kujawinski_metabolomics_9313_whole_cell,Prochlorococcus MIT9313,growth_phase,axenic,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1128/msystems.01261-22,Metabolite diversity among representatives of divergent Prochlorococcus ecotypes,MIT9313 metabolite diversity (intracellular pool),replete (Pro99),n/a
10.1128/spectrum.03275-22_dark_low_glucose_ss120_proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),carbon,coculture | darkness,PROTEOMICS,whole_cell,all_detected_genes,,False,,930,930,1,1,darkness,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,SS120 proteomics: darkness +100 nM glucose vs darkness (control),Darkness + 100 nM glucose addition,Darkness (no glucose)
10.1128/spectrum.03275-22_dark_high_glucose_ss120_proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),carbon,coculture | darkness,PROTEOMICS,whole_cell,all_detected_genes,,False,,929,929,198,43,darkness,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,SS120 proteomics: darkness +5 mM glucose vs darkness (control),Darkness + 5 mM glucose addition,Darkness (no glucose)
10.1128/spectrum.03275-22_light_low_glucose_ss120_proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),carbon,coculture | light,PROTEOMICS,whole_cell,all_detected_genes,,False,,930,930,0,1,stationary,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,SS120 proteomics: light +100 nM glucose vs light (control),Light + 100 nM glucose addition,Light (no glucose)
10.1128/spectrum.03275-22_light_high_glucose_ss120_proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),carbon,coculture | light,PROTEOMICS,whole_cell,all_detected_genes,,False,,928,928,136,56,stationary,10.1128/spectrum.03275-22,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,SS120 proteomics: light +5 mM glucose vs light (control),Light + 5 mM glucose addition,Light (no glucose)
10.3389/fmicb.2022.1038136_salt_low_salinity_acclimation_28_med4_rnaseq,Prochlorococcus MED4,salt,axenic | light,RNASEQ,whole_cell,significant_only,"p < 0.05 and ,logFC, > 1",False,,28,28,13,15,acclimated_steady_state,10.3389/fmicb.2022.1038136,Acclimation and stress response of Prochlorococcus to low salinity.,MED4 Low salinity acclimation (28 psu) vs Normal seawater salinity (34 psu) (RNASEQ),Low salinity acclimation (28 psu),Normal seawater salinity (34 psu)
10.1038/s43705-022-00197-2_carbon_stress_elevated_pco2_800_ppm_mit9312_rnaseq,Prochlorococcus MIT9312,carbon,axenic | coculture,RNASEQ,whole_cell,significant_only,,False,,37,37,10,27,exponential,10.1038/s43705-022-00197-2,Community context and pCO 2 impact the transcriptome of the “helper” bacterium Alteromonas in co-culture with picocyanobacteria,MIT9312 Elevated pCO2 (800 ppm) vs Ambient pCO2 (400 ppm) (RNASEQ),Elevated pCO2 (800 ppm),Ambient pCO2 (400 ppm)
10.1111/1462-2920.15834_vesicle_metabolomics_mit9312,Prochlorococcus MIT9312,compartment,axenic | light,METABOLOMICS,vesicle,,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9312 extracellular vesicle targeted metabolome (Table S7),Purified extracellular vesicle metabolome,Whole-cell metabolome (separate experiment)
10.1111/1462-2920.15834_vesicle_proteomics_mit9312,Prochlorococcus MIT9312,compartment,axenic | light,VESICLE_PROTEOMICS,vesicle,all_detected_genes,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9312 vesicle vs whole-cell proteome (label-free LC-MS/MS),Vesicle fraction (extracellular),Whole cell (intracellular)
10.1111/1462-2920.15834_cells_metabolomics_mit9312,Prochlorococcus MIT9312,compartment,axenic | light,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9312 whole-cell targeted metabolome (Table S7),Whole-cell metabolome,Purified extracellular vesicle metabolome (separate experiment)
10.1111/1462-2920.15834_vesicle_metabolomics_mit9313,Prochlorococcus MIT9313,compartment,axenic | light,METABOLOMICS,vesicle,,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9313 extracellular vesicle targeted metabolome (Table S7),Purified extracellular vesicle metabolome,Whole-cell metabolome (separate experiment)
10.1111/1462-2920.15834_vesicle_proteomics_mit9313,Prochlorococcus MIT9313,compartment,axenic | light,VESICLE_PROTEOMICS,vesicle,all_detected_genes,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9313 vesicle vs whole-cell proteome (label-free LC-MS/MS),Vesicle fraction (extracellular),Whole cell (intracellular)
10.1111/1462-2920.15834_cells_metabolomics_mit9313,Prochlorococcus MIT9313,compartment,axenic | light,METABOLOMICS,whole_cell,,,False,,0,0,0,0,,10.1111/1462-2920.15834,Prochlorococcus extracellular vesicles: molecular composition and adsorption to diverse microbes,MIT9313 whole-cell targeted metabolome (Table S7),Whole-cell metabolome,Purified extracellular vesicle metabolome (separate experiment)
10.3389/fmicb.2022.1038136_salt_low_salinity_acclimation_28_natl1a_rnaseq,Prochlorococcus NATL1A,salt,axenic | light,RNASEQ,whole_cell,significant_only,"p < 0.05 and ,logFC, > 1",False,,81,81,59,22,acclimated_steady_state,10.3389/fmicb.2022.1038136,Acclimation and stress response of Prochlorococcus to low salinity.,NATL1A Low salinity acclimation (28 psu) vs Normal seawater salinity (34 psu) (RNASEQ),Low salinity acclimation (28 psu),Normal seawater salinity (34 psu)
10.1038/s42003-019-0410-x_plastic_hdpe_plastic_leachate_50_mit9312_rnaseq,Prochlorococcus MIT9312,plastic,axenic | light,RNASEQ,whole_cell,filtered_subset,"Genes significant for HDPE or PVC or both, both in single table",False,,396,396,200,196,acute_stress,10.1038/s42003-019-0410-x,"Plastic leachates impair growth and oxygen production in Prochlorococcus, the ocean^s most abundant photosynthetic bacteria",MIT9312 HDPE plastic leachate (50% dilution) vs AMP1 media control (no leachate) (RNASEQ),HDPE plastic leachate (50% dilution),AMP1 media control (no leachate)
10.1038/s42003-019-0410-x_plastic_pvc_plastic_leachate_2_mit9312_rnaseq,Prochlorococcus MIT9312,plastic,axenic | light,RNASEQ,whole_cell,filtered_subset,"Genes significant for HDPE or PVC or both, both in single table",False,,583,583,300,283,acute_stress,10.1038/s42003-019-0410-x,"Plastic leachates impair growth and oxygen production in Prochlorococcus, the ocean^s most abundant photosynthetic bacteria",MIT9312 PVC plastic leachate (2% dilution) vs AMP1 media control (no leachate) (RNASEQ),PVC plastic leachate (2% dilution),AMP1 media control (no leachate)
10.1111/1462-2920.14513_viral_viral_dom_vdom_addition_mit9313_rnaseq,Prochlorococcus MIT9313,viral,light,RNASEQ,whole_cell,significant_any_timepoint,,True,Phage,3852,428,461,373,exponential,10.1111/1462-2920.14513,Transcriptomic responses of the marine cyanobacterium Prochlorococcus to viral lysis products,MIT9313 Viral DOM (vDOM) addition vs Pro99 growth medium control (RNASEQ),Viral DOM (vDOM) addition,Pro99 growth medium control
10.1038/s42003-019-0410-x_plastic_hdpe_plastic_leachate_50_natl2a_rnaseq,Prochlorococcus NATL2A,plastic,axenic | light,RNASEQ,whole_cell,filtered_subset,"Genes significant for HDPE or PVC or both, both in single table",False,,131,131,64,67,acute_stress,10.1038/s42003-019-0410-x,"Plastic leachates impair growth and oxygen production in Prochlorococcus, the ocean^s most abundant photosynthetic bacteria",NATL2A HDPE plastic leachate (50% dilution) vs AMP1 media control (no leachate) (RNASEQ),HDPE plastic leachate (50% dilution),AMP1 media control (no leachate)
10.1038/s42003-019-0410-x_plastic_pvc_plastic_leachate_2_natl2a_rnaseq,Prochlorococcus NATL2A,plastic,axenic | light,RNASEQ,whole_cell,filtered_subset,"Genes significant for HDPE or PVC or both, both in single table",False,,64,64,31,33,acute_stress,10.1038/s42003-019-0410-x,"Plastic leachates impair growth and oxygen production in Prochlorococcus, the ocean^s most abundant photosynthetic bacteria",NATL2A PVC plastic leachate (2% dilution) vs AMP1 media control (no leachate) (RNASEQ),PVC plastic leachate (2% dilution),AMP1 media control (no leachate)
10.1038/ismej.2017.189_carbon_stress_elevated_co2_800_ppm_mit9312_rnaseq,Prochlorococcus MIT9312,carbon,coculture | diel,RNASEQ,whole_cell,significant_only,,False,,103,103,52,51,acclimated_steady_state,10.1038/ismej.2017.189,The impact of elevated CO 2 on Prochlorococcus and microbial interactions with ‘helper’ bacterium Alteromonas,MIT9312 Elevated CO2 (800 ppm) vs Ambient CO2 (400 ppm) (RNASEQ),Elevated CO2 (800 ppm),Ambient CO2 (400 ppm)
10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_coculture,Prochlorococcus NATL2A,darkness,coculture | diel,RNASEQ,whole_cell,significant_any_timepoint,,True,,5862,1954,791,1410,darkness,10.1128/mSystems.00040-18,Heterotroph interactions alter Prochlorococcus transcriptome dynamics during extended periods of darkness,NATL2A Extended darkness vs 13:11 diel light:dark cycle control (RNASEQ),Extended darkness,13:11 diel light:dark cycle control
10.1128/mSystems.00040-18_darkness_extended_darkness_natl2a_rnaseq_axenic,Prochlorococcus NATL2A,darkness,axenic | diel,RNASEQ,whole_cell,significant_any_timepoint,,True,,5862,1954,1176,2067,darkness,10.1128/mSystems.00040-18,Heterotroph interactions alter Prochlorococcus transcriptome dynamics during extended periods of darkness,NATL2A Extended darkness vs 13:11 diel light:dark cycle control (RNASEQ),Extended darkness,13:11 diel light:dark cycle control
10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,Prochlorococcus MED4,nitrogen,axenic | light,RNASEQ,whole_cell,filtered_subset,Top 50% of genes by expression level,True,,2534,857,271,326,nutrient_limited | acute_stress,10.1038/ismej.2017.88,Nitrogen cost minimization is promoted by structural changes in the transcriptome of N-deprived Prochlorococcus cells,MED4 N-depleted Pro99 medium vs N-replete Pro99 medium (RNASEQ),N-depleted Pro99 medium,N-replete Pro99 medium
10.1128/mSystems.00008-17_azaserine_ss120_proteomics,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),nitrogen,light | axenic,PROTEOMICS,whole_cell,significant_only,Only significantly-changing proteins reported in S3 (up + down).,False,,389,389,15,135,acute_stress,10.1128/mSystems.00008-17,Quantitative Proteomics Shows Extensive Remodeling Induced by Nitrogen Limitation in Prochlorococcus marinus SS120,SS120 proteomics: control vs azaserine (N-limitation proxy),"Azaserine 10 uM (ferredoxin-GOGAT inhibitor, proxy for N-limitation)",Untreated control
10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,Prochlorococcus MED4,coculture,light,RNASEQ,whole_cell,all_detected_genes,,False,Alteromonas macleodii HOT1A3,1714,1714,24,272,exponential,10.1038/ismej.2016.70,Transcriptional response of Prochlorococcus to co-culture with a marine Alteromonas: differences between strains and the involvement of putative infochemicals,MED4 Coculture with Alteromonas HOT1A3 vs Pro99 medium growth conditions (RNASEQ),Coculture with Alteromonas HOT1A3,Pro99 medium growth conditions
10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark,Prochlorococcus MED4,light,axenic,RNASEQ,whole_cell,significant_only,,True,,49,32,13,36,acute_stress,10.1371/journal.pone.0165375,Gene Expression Patterns during Light and Dark Infection of Prochlorococcus by Cyanophage,MED4 Constant dark vs Constant light (90 µE m-2 s-1) (RNASEQ),Constant dark,Constant light (90 µE m-2 s-1)
10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected,Prochlorococcus MED4,light,viral,RNASEQ,whole_cell,significant_only,,True,,52,39,9,43,infected,10.1371/journal.pone.0165375,Gene Expression Patterns during Light and Dark Infection of Prochlorococcus by Cyanophage,MED4 Constant dark vs Constant light (90 µE m-2 s-1) (RNASEQ),Constant dark,Constant light (90 µE m-2 s-1)
10.1371/journal.pone.0165375_viral_phage_phm2_lysate_med4_rnaseq_dark,Prochlorococcus MED4,viral,darkness,RNASEQ,whole_cell,significant_only,,True,Phage,33,25,11,22,infected,10.1371/journal.pone.0165375,Gene Expression Patterns during Light and Dark Infection of Prochlorococcus by Cyanophage,MED4 Phage (P-HM2) lysate vs Spent medium (uninfected) in dark (RNASEQ),Phage (P-HM2) lysate,Spent medium (uninfected)
10.1371/journal.pone.0165375_viral_phage_phm2_lysate_med4_rnaseq_light,Prochlorococcus MED4,viral,light,RNASEQ,whole_cell,significant_only,,True,Phage,34,30,13,21,infected,10.1371/journal.pone.0165375,Gene Expression Patterns during Light and Dark Infection of Prochlorococcus by Cyanophage,MED4 Phage (P-HM2) lysate vs Spent medium (uninfected) in light (RNASEQ),Phage (P-HM2) lysate,Spent medium (uninfected)
10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_05e6,Prochlorococcus MIT9313,coculture,light,RNASEQ,whole_cell,all_detected_genes,,False,Alteromonas macleodii HOT1A3,2267,2267,153,45,exponential,10.1038/ismej.2016.70,Transcriptional response of Prochlorococcus to co-culture with a marine Alteromonas: differences between strains and the involvement of putative infochemicals,MIT9313 Coculture with Alteromonas HOT1A3 vs Pro99 medium growth conditions (RNASEQ),Coculture with Alteromonas HOT1A3,Pro99 medium growth conditions
10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_5e6,Prochlorococcus MIT9313,coculture,light,RNASEQ,whole_cell,all_detected_genes,,False,Alteromonas macleodii HOT1A3,2268,2268,96,3,exponential,10.1038/ismej.2016.70,Transcriptional response of Prochlorococcus to co-culture with a marine Alteromonas: differences between strains and the involvement of putative infochemicals,MIT9313 Coculture with Alteromonas HOT1A3 vs Pro99 medium growth conditions (RNASEQ),Coculture with Alteromonas HOT1A3,Pro99 medium growth conditions
10.1038/ismej.2016.82_coculture_alteromonas_macleodii_mit1002_natl2a_rnaseq,Prochlorococcus NATL2A,coculture,light,RNASEQ,whole_cell,significant_any_timepoint,,True,Alteromonas macleodii MIT1002,2471,353,221,352,exponential,10.1038/ismej.2016.82,Torn apart and reunited: impact of a heterotroph on the transcriptome of Prochlorococcus,NATL2A Co-culture with Alteromonas macleodii MIT1002 vs Axenic Prochlorococcus NATL2A (RNASEQ),Co-culture with Alteromonas macleodii MIT1002,Axenic Prochlorococcus NATL2A
10.1016/j.micres.2015.04.006_salt_saltacclimated_5_salt_as9601_rnaseq,Prochlorococcus AS9601,salt,axenic | light,RNASEQ,whole_cell,all_detected_genes,,False,,1887,1887,950,937,acclimated_steady_state,10.1016/j.micres.2015.04.006,Global transcriptome analysis of salt acclimated Prochlorococcus AS9601,AS9601 Salt-acclimated (5% salt) vs Normal seawater control (3.8% salt) (RNASEQ),Salt-acclimated (5% salt),Normal seawater control (3.8% salt)
10.1038/ismej.2015.36_carbon_air_0036_co2_21_med4_microarray,Prochlorococcus MED4,carbon,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 4 gas conditions, all conditions in single table",False,,166,166,121,45,acute_stress,10.1038/ismej.2015.36,Response of Prochlorococcus to varying CO2:O2 ratios,MED4 Air (0.036% CO2 / 21% O2) vs Time 0 (pre-shock) (MICROARRAY),Air (0.036% CO2 / 21% O2),Time 0 (pre-shock)
10.1038/ismej.2015.36_carbon_ambient_co2_no_o2_med4_microarray,Prochlorococcus MED4,carbon,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 4 gas conditions, all conditions in single table",False,,4,4,4,0,acute_stress,10.1038/ismej.2015.36,Response of Prochlorococcus to varying CO2:O2 ratios,"MED4 Ambient CO2, no O2 (0.036% CO2 / 0% O2) vs Air (0.036% CO2 / 21% O2) (MICROARRAY)","Ambient CO2, no O2 (0.036% CO2 / 0% O2)",Air (0.036% CO2 / 21% O2)
10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray,Prochlorococcus MED4,carbon,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 4 gas conditions, all conditions in single table",False,,285,285,74,211,acute_stress,10.1038/ismej.2015.36,Response of Prochlorococcus to varying CO2:O2 ratios,MED4 Low CO2 (0.004% CO2 / 21% O2) vs Air (0.036% CO2 / 21% O2) (MICROARRAY),Low CO2 (0.004% CO2 / 21% O2),Air (0.036% CO2 / 21% O2)
10.1038/ismej.2015.36_carbon_low_co2_and_no_med4_microarray,Prochlorococcus MED4,carbon,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 4 gas conditions, all conditions in single table",False,,252,252,48,204,acute_stress,10.1038/ismej.2015.36,Response of Prochlorococcus to varying CO2:O2 ratios,MED4 Low CO2 and no O2 (0.004% CO2 / 0% O2) vs Air (0.036% CO2 / 21% O2) (MICROARRAY),Low CO2 and no O2 (0.004% CO2 / 0% O2),Air (0.036% CO2 / 21% O2)
10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_infected,Prochlorococcus NATL2A,phosphorus,viral | diel,RNASEQ,whole_cell,significant_only,,True,,272,34,118,0,recovery | nutrient_limited,10.1111/1462-2920.13104,Transcriptomic response during phage infection of a marine cyanobacterium under phosphorus-limited conditions,NATL2A P-limited vs P-replete control (RNASEQ),P-limited,P-replete control
10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,Prochlorococcus NATL2A,phosphorus,axenic | diel,RNASEQ,whole_cell,significant_only,,True,,204,34,41,4,recovery | nutrient_limited,10.1111/1462-2920.13104,Transcriptomic response during phage infection of a marine cyanobacterium under phosphorus-limited conditions,NATL2A P-limited vs P-replete control (RNASEQ),P-limited,P-replete control
