locus_tag,gene_name,derived_metric_id,value_kind,name,rankable,has_p_value,rank_by_metric,metric_percentile,metric_bucket,metric_type,field_description,unit,allowed_categories,compartment,treatment_type,background_factors,publication_doi,treatment,light_condition,experimental_context
PMM0872,,derived_metric:1471-2180-14-11:med4_expression_level:expression_level_class,categorical,MED4 RPKM expression-level class (Wang 2014),False,False,,,,expression_level_class,"Per-gene expression-level class assigned from RPKM quartiles aggregated across 10 RNA-seq samples (MED4 in Pro99 and AMP media, exponential and log-phase; 21C, continuous light at 28 umol quanta m-2 s-1). Class meanings reported in Wang 2014: VEG = very highly expressed (top RPKM quartile across conditions); HEG = highly expressed, enriched for COG ""C"" energy production and conversion, ""J"" translation and ribosomal structure, and ""O"" protein modification, folding and turnover (Figure 4c) and showing significantly lower nonsynonymous substitution rate (Ka) than MEG or LEG (P<0.001, Figure 3a); MEG = moderately expressed, significantly enriched for essential genes with homologs in the Database of Essential Genes (DEG-hit rate, P<0.001, Figure 4b); LEG = lowly expressed, slightly enriched for COG ""R"" general function (P=0.023); NEG = not expressed, under-represented in the core genome (1.5% core vs 6.6% flexible, P<0.001, Figure 3c); -- = unclassified (RPKM did not fit any quartile bin).",,VEG | HEG | MEG | LEG | NEG | --,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM0872,,derived_metric:1471-2180-14-11:med4_expression_level:pangenome_membership,categorical,MED4 core vs flexible genome assignment (Wang 2014),False,False,,,,pangenome_membership,"Pangenome membership for each MED4 CDS gene. Core = present across sequenced Prochlorococcus genomes (Prochlorococcus core gene set); Flexible = strain-specific or variably present across Prochlorococcus genomes (flexible/accessory gene set). Wang 2014 reports that the core genome contains significantly fewer NEG and VEG genes than the flexible genome (NEG: 1.5% < 6.6%; VEG: 49.6% < 64.6%; both P<0.001, Figure 3c), indicating that conserved core genes cluster around moderate expression while flexible genes are enriched at the high and low extremes.",,Core | Flexible,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM0983,,derived_metric:1471-2180-14-11:med4_expression_level:expression_level_class,categorical,MED4 RPKM expression-level class (Wang 2014),False,False,,,,expression_level_class,"Per-gene expression-level class assigned from RPKM quartiles aggregated across 10 RNA-seq samples (MED4 in Pro99 and AMP media, exponential and log-phase; 21C, continuous light at 28 umol quanta m-2 s-1). Class meanings reported in Wang 2014: VEG = very highly expressed (top RPKM quartile across conditions); HEG = highly expressed, enriched for COG ""C"" energy production and conversion, ""J"" translation and ribosomal structure, and ""O"" protein modification, folding and turnover (Figure 4c) and showing significantly lower nonsynonymous substitution rate (Ka) than MEG or LEG (P<0.001, Figure 3a); MEG = moderately expressed, significantly enriched for essential genes with homologs in the Database of Essential Genes (DEG-hit rate, P<0.001, Figure 4b); LEG = lowly expressed, slightly enriched for COG ""R"" general function (P=0.023); NEG = not expressed, under-represented in the core genome (1.5% core vs 6.6% flexible, P<0.001, Figure 3c); -- = unclassified (RPKM did not fit any quartile bin).",,VEG | HEG | MEG | LEG | NEG | --,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM0983,,derived_metric:1471-2180-14-11:med4_expression_level:pangenome_membership,categorical,MED4 core vs flexible genome assignment (Wang 2014),False,False,,,,pangenome_membership,"Pangenome membership for each MED4 CDS gene. Core = present across sequenced Prochlorococcus genomes (Prochlorococcus core gene set); Flexible = strain-specific or variably present across Prochlorococcus genomes (flexible/accessory gene set). Wang 2014 reports that the core genome contains significantly fewer NEG and VEG genes than the flexible genome (NEG: 1.5% < 6.6%; VEG: 49.6% < 64.6%; both P<0.001, Figure 3c), indicating that conserved core genes cluster around moderate expression while flexible genes are enriched at the high and low extremes.",,Core | Flexible,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1028,,derived_metric:ismej.2015.36:s2_concordance_low_co2:rapid_recovery_low_co2_shock,boolean,MED4 rapid recovery under -CO2 shock (Bagby 2015 Table S2),False,False,,,,rapid_recovery_low_co2_shock,Rapid recovery under -CO2 shock (cluster 3 membership). Empty = no rapid recovery.,,,whole_cell,carbon,axenic | light,10.1038/ismej.2015.36,Low CO2 (0.004% CO2 / 21% O2),continuous light,"Pro99 medium, mid-exponential phase, constant light 60 umol photons m-2 s-1, 21C. Highest FC across timepoints (3h, 6h, 9h, 12h, 18h, 24h)."
PMM1028,,derived_metric:ismej.2015.36:s2_concordance_low_co2_no_o2:rapid_recovery_low_co2_no_o2_shock,boolean,MED4 rapid recovery under -CO2/-O2 shock (Bagby 2015 Table S2),False,False,,,,rapid_recovery_low_co2_no_o2_shock,Rapid recovery under -CO2/-O2 shock (cluster 3 membership). Empty = no rapid recovery.,,,whole_cell,carbon,axenic | light,10.1038/ismej.2015.36,Low CO2 and no O2 (0.004% CO2 / 0% O2),continuous light,"Pro99 medium, mid-exponential phase, constant light 60 umol photons m-2 s-1, 21C. Highest FC across timepoints (3h, 6h, 9h, 12h, 18h, 24h)."
PMM1028,,derived_metric:1471-2180-14-11:med4_expression_level:expression_level_class,categorical,MED4 RPKM expression-level class (Wang 2014),False,False,,,,expression_level_class,"Per-gene expression-level class assigned from RPKM quartiles aggregated across 10 RNA-seq samples (MED4 in Pro99 and AMP media, exponential and log-phase; 21C, continuous light at 28 umol quanta m-2 s-1). Class meanings reported in Wang 2014: VEG = very highly expressed (top RPKM quartile across conditions); HEG = highly expressed, enriched for COG ""C"" energy production and conversion, ""J"" translation and ribosomal structure, and ""O"" protein modification, folding and turnover (Figure 4c) and showing significantly lower nonsynonymous substitution rate (Ka) than MEG or LEG (P<0.001, Figure 3a); MEG = moderately expressed, significantly enriched for essential genes with homologs in the Database of Essential Genes (DEG-hit rate, P<0.001, Figure 4b); LEG = lowly expressed, slightly enriched for COG ""R"" general function (P=0.023); NEG = not expressed, under-represented in the core genome (1.5% core vs 6.6% flexible, P<0.001, Figure 3c); -- = unclassified (RPKM did not fit any quartile bin).",,VEG | HEG | MEG | LEG | NEG | --,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1028,,derived_metric:1471-2180-14-11:med4_expression_level:pangenome_membership,categorical,MED4 core vs flexible genome assignment (Wang 2014),False,False,,,,pangenome_membership,"Pangenome membership for each MED4 CDS gene. Core = present across sequenced Prochlorococcus genomes (Prochlorococcus core gene set); Flexible = strain-specific or variably present across Prochlorococcus genomes (flexible/accessory gene set). Wang 2014 reports that the core genome contains significantly fewer NEG and VEG genes than the flexible genome (NEG: 1.5% < 6.6%; VEG: 49.6% < 64.6%; both P<0.001, Figure 3c), indicating that conserved core genes cluster around moderate expression while flexible genes are enriched at the high and low extremes.",,Core | Flexible,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1028,,derived_metric:ismej.2015.36:s2_concordance_low_co2:expression_change_high_light_shock,categorical,MED4 expression change under high light shock (Bagby 2015 Table S2),False,False,,,,expression_change_high_light_shock,"Direction of MED4 transcriptional response to high light shock at t=45 min, from prior literature (Steglich 2006, 2008). Concordance reference for the -CO2 shock gene set.",,up | down | -,whole_cell,carbon,axenic | light,10.1038/ismej.2015.36,Low CO2 (0.004% CO2 / 21% O2),continuous light,"Pro99 medium, mid-exponential phase, constant light 60 umol photons m-2 s-1, 21C. Highest FC across timepoints (3h, 6h, 9h, 12h, 18h, 24h)."
PMM1028,,derived_metric:ismej.2015.36:s2_concordance_low_co2:expression_change_low_co2_shock,categorical,MED4 expression change under -CO2 shock (Bagby 2015 Table S2),False,False,,,,expression_change_low_co2_shock,"Direction of initial change under -CO2 shock as indicated by cluster membership (cluster 1 = up; clusters 2,3,4 = down).",,up | down | -,whole_cell,carbon,axenic | light,10.1038/ismej.2015.36,Low CO2 (0.004% CO2 / 21% O2),continuous light,"Pro99 medium, mid-exponential phase, constant light 60 umol photons m-2 s-1, 21C. Highest FC across timepoints (3h, 6h, 9h, 12h, 18h, 24h)."
