marker_id,tier,gene_name,product,gene_category,strain,clade,organism,locus_tag,protein_accession,protein_length_aa,sequence_available,is_medoid,locus_block,mean_identity_to_siblings_pct,min_pairwise_identity_pct,shared_domain_in_a_genome,cross_aligns_another_marker,caution,ortholog_groups
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,CC9311,I,Synechococcus CC9311,SYNC_RS13690,WP_071813674.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_RS11510,WP_071823038.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2004,WP_011128862.1,101,True,True,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08981,WP_009789002.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0497,WP_011932411.1,102,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0492,WP_011618451.1,200,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0442,WP_006849863.1,203,True,True,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2019,WP_144416645.1,193,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08896,WP_037988036.1,205,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0483,WP_011932397.1,201,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
