marker_id,tier,gene_name,product,gene_category,strain,clade,organism,locus_tag,protein_accession,protein_length_aa,sequence_available,is_medoid,locus_block,mean_identity_to_siblings_pct,min_pairwise_identity_pct,shared_domain_in_a_genome,cross_aligns_another_marker,caution,ortholog_groups
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0504,WP_011618463.1,165,True,True,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0460,WP_006850994.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2009,WP_011128867.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08951,WP_009788996.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0492,WP_011932406.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0505,WP_041426329.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0461,WP_006850273.1,178,True,True,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2008,WP_011128866.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08956,WP_037988737.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0493,WP_011932407.1,181,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,CC9311,I,Synechococcus CC9311,SYNC_RS13690,WP_071813674.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_RS11510,WP_071823038.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2004,WP_011128862.1,101,True,True,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08981,WP_009789002.1,101,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
m001,1_annotated,cpeR,phycoerythrin operon regulator,Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0497,WP_011932411.1,102,True,False,B19,78.5,72.4,True,False,,cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2
