ecotype,clade,strain,organism_name,locus_tag,gene_name,product,gene_category,cyanorak_og,og_gene_name,og_product,og_specificity_rank
HL,HLI,MED4,Prochlorococcus MED4,PMM0201,rplL,50S ribosomal protein L7/L12,Stress response and adaptation,cyanorak:CK_00000429,rplL,50S ribosomal protein L7/L12,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0202,rplJ,50S ribosomal protein L10,Stress response and adaptation,cyanorak:CK_00000428,rplJ,50S ribosomal protein L10,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0340,,uncharacterized conserved membrane protein,Stress response and adaptation,cyanorak:CK_00000794,PMN2A_RS05395,uncharacterized conserved membrane protein,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0663,prfC,peptide chain release factor 3,Stress response and adaptation,cyanorak:CK_00000865,prfC,peptide chain release factor 3,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0671,phnE,"phosphate/phosphonate ABC type transporter, permease component",Stress response and adaptation,cyanorak:CK_00000861,phnE,"phosphate/phosphonate ABC type transporter, permease component",0
HL,HLI,MED4,Prochlorococcus MED4,PMM0672,phnC,"phosphonate ABC type transporter, ATPase component",Stress response and adaptation,cyanorak:CK_00008048,phnC,"phosphonate ABC type transporter, ATPase component",0
HL,HLI,MED4,Prochlorococcus MED4,PMM0673,phnD,"phosphonate ABC type transporter, substrate binding component",Stress response and adaptation,cyanorak:CK_00000860,phnD,"phosphonate ABC type transporter, substrate binding component",0
HL,HLI,MED4,Prochlorococcus MED4,PMM0705,phoB,two-component system response regulator RR class II (RRII)-CheY-OmpR,Stress response and adaptation,cyanorak:CK_00008015,phoB,two-component system response regulator RR class II (RRII)-CheY-OmpR,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0706,phoR,"two-component system sensor histidine kinase, phosphate sensing PhoR",Stress response and adaptation,cyanorak:CK_00001531,phoR,"two-component system sensor histidine kinase, phosphate sensing PhoR",0
HL,HLI,MED4,Prochlorococcus MED4,PMM0709,som,outer membrane porin,Stress response and adaptation,cyanorak:CK_00002330,som,outer membrane porin,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0710,pstS,"phosphate ABC transporter, phosphate-binding protein PstS",Stress response and adaptation,cyanorak:CK_00043821,pstS,"phosphate ABC transporter, phosphate-binding protein PstS",0
HL,HLI,MED4,Prochlorococcus MED4,PMM0711,chrA,chromate transporter,Stress response and adaptation,cyanorak:CK_00002826,chrA,chromate transporter,0
HL,HLI,MED4,Prochlorococcus MED4,PMM0713,gap3,glyceraldehyde-3-phosphate dehydrogenase,Stress response and adaptation,cyanorak:CK_00008093,gap3,glyceraldehyde-3-phosphate dehydrogenase,0
