doi,year,journal,title,authors,n_pooled_experiments
10.1038/msb4100087,2006,Molecular Systems Biology,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,Andrew C Tolonen | John Aach | Debbie Lindell | Zackary I Johnson | Trent Rector | Robert Steen | George M Church | Sallie W Chisholm,6
10.1073/pnas.0601301103,2006,PNAS,Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation,Adam C. Martiny | Maureen L. Coleman | Sallie W. Chisholm,2
10.1128/JB.01097-06,2006,Journal of Bacteriology,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,Claudia Steglich | Matthias Futschik | Trent Rector | Robert Steen | Sallie W. Chisholm,6
10.1021/pr060460c,2007,Journal of Proteome Research,A Quantitative Proteomic Analysis of Light Adaptation in a Globally Significant Marine Cyanobacterium Prochlorococcus marinus MED4,Jagroop Pandhal | Phillip C. Wright | Catherine A. Biggs,2
10.1038/nature06130,2007,Nature,Genome-wide expression dynamics of a marine virus and host reveal features of co-evolution,Debbie Lindell | Jacob D. Jaffe | Maureen L. Coleman | Matthias E. Futschik | Ilka M. Axmann | Trent Rector | Gregory Kettler | Matthew B. Sullivan | Robert Steen | Wolfgang R. Hess | George M. Church | Sallie W. Chisholm,1
10.1371/journal.pone.0005135,2009,PLOS ONE,"Choreography of the Transcriptome, Photophysiology, and Cell Cycle of a Minimal Photoautotroph, Prochlorococcus",Erik R. Zinser | Debbie Lindell | Zackary I. Johnson | Matthias E. Futschik | Claudia Steglich | Maureen L. Coleman | Matthew A. Wright | Trent Rector | Robert Steen | Nathan McNulty | Luke R. Thompson | Sallie W. Chisholm,1
10.1038/ismej.2011.49,2011,The ISME Journal,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,Anne W Thompson | Katherine Huang | Mak A Saito | Sallie W Chisholm,5
10.1186/2046-9063-8-7,2012,Aquatic Biosystems,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,Matthew A Fuszard | Phillip C Wright | Catherine A Biggs,3
10.1371/journal.pone.0043432,2012,PLoS ONE,Transcriptome and Proteome Dynamics of a Light-Dark Synchronized Bacterial Cell Cycle,Jacob R. Waldbauer | Sébastien Rodrigue | Maureen L. Coleman | Sallie W. Chisholm,1
10.1186/1471-2180-14-11,2014,BMC Microbiology,The transcriptome landscape of Prochlorococcus MED4 and the factors for stabilizing the core genome,Bang Wang | Lina Lu | Hexin Lv | Huifeng Jiang | GeQu | Chaoguang Tian | Yanhe Ma,1
10.1016/j.micres.2015.04.006,2015,Microbiological Research,Global transcriptome analysis of salt acclimated Prochlorococcus AS9601,Sumaya Al-Hosani | Mai M. Oudah | Andreas Henschel | Lina F. Yousef,1
10.1038/ismej.2015.36,2015,ISME Journal,Response of Prochlorococcus to varying CO2:O2 ratios,Sarah C Bagby | Sallie W Chisholm,4
10.1111/1462-2920.13104,2015,Environmental Microbiology,Transcriptomic response during phage infection of a marine cyanobacterium under phosphorus-limited conditions,Xingqin Lin | Huiming Ding | Qinglu Zeng,2
10.1038/ismej.2016.70,2016,The ISME Journal,Transcriptional response of Prochlorococcus to co-culture with a marine Alteromonas: differences between strains and the involvement of putative infochemicals,Dikla Aharonovich | Daniel Sher,3
10.1038/ismej.2016.82,2016,The ISME Journal,Torn apart and reunited: impact of a heterotroph on the transcriptome of Prochlorococcus,Steven J Biller | Allison Coe | Sallie W Chisholm,1
10.1371/journal.pone.0165375,2016,PLOS ONE,Gene Expression Patterns during Light and Dark Infection of Prochlorococcus by Cyanophage,Luke R. Thompson | Qinglu Zeng | Sallie W. Chisholm,4
10.1038/ismej.2017.88,2017,The ISME Journal,Nitrogen cost minimization is promoted by structural changes in the transcriptome of N-deprived Prochlorococcus cells,Robert W Read | Paul M Berube | Steven J Biller | Iva Neveux | Andres Cubillos-Ruiz | Sallie W Chisholm | Joseph J Grzymski,1
10.1128/mSystems.00008-17,2017,mSystems,Quantitative Proteomics Shows Extensive Remodeling Induced by Nitrogen Limitation in Prochlorococcus marinus SS120,Maria Agustina Domínguez-Martín | Guadalupe Gómez-Baena | Jesús Díez | Maria José López-Grueso | Robert J. Beynon | José Manuel García-Fernández,1
10.1038/ismej.2017.189,2018,The ISME Journal,The impact of elevated CO 2 on Prochlorococcus and microbial interactions with ‘helper’ bacterium Alteromonas,Gwenn MM Hennon | J Jeffrey Morris | Sheean T Haley | Erik R Zinser | Alexander R Durrant | Elizabeth Entwistle | Terje Dokland | Sonya T Dyhrman,1
10.1128/mSystems.00040-18,2018,mSystems,Heterotroph interactions alter Prochlorococcus transcriptome dynamics during extended periods of darkness,Steven J. Biller | Allison Coe | Sara E. Roggensack | Sallie W. Chisholm,2
10.1038/s42003-019-0410-x,2019,Communications Biology,"Plastic leachates impair growth and oxygen production in Prochlorococcus, the ocean^s most abundant photosynthetic bacteria",Sasha G. Tetu | Indrani Sarker | Verena Schrameyer | Russell Pickford | Liam D.H. Elbourne | Lisa R. Moore | Ian T. Paulsen,4
10.1111/1462-2920.14513,2019,Environmental Microbiology,Transcriptomic responses of the marine cyanobacterium Prochlorococcus to viral lysis products,Xiaoting Fang | Yaxin Liu | Yao Zhao | Yue Chen | Riyue Liu | Qi-Long Qin | Gang Li | Yu-Zhong Zhang | Wan Chan | Wolfgang R. Hess | Qinglu Zeng,1
10.1038/s43705-022-00197-2,2022,ISME Communications,Community context and pCO 2 impact the transcriptome of the “helper” bacterium Alteromonas in co-culture with picocyanobacteria,Marcelo Malisano Barreto Filho | Zhiying Lu | Melissa Walker | J. Jeffrey Morris,1
10.3389/fmicb.2022.1038136,2022,Frontiers in Microbiology,Acclimation and stress response of Prochlorococcus to low salinity.,Xiayu He | Huan Liu | Lijuan Long | Junde Dong | Sijun Huang,2
10.1073/pnas.2213271120,2023,Proceedings of the National Academy of Sciences,Chitin utilization by marine picocyanobacteria and the evolution of a planktonic lifestyle,Giovanna Capovilla | Rogier Braakman | Gregory P. Fournier | Thomas Hackl | Julia Schwartzman | Xinda Lu | Alexis Yelton | Krista Longnecker | Melissa C. Kido-Soule | Elaina Thomas | Gretchen Swarr | Alessandro Mongero | Jack G. Payette | Kurt G. Castro | Jacob R. Waldbauer | Elizabeth B. Kujawinska | Otto X. Cordero | Sallie W. Chisholm,2
10.1128/mbio.03425-22,2023,mBio,Transcriptional Mechanisms of Thermal Acclimation in Prochlorococcus, Laura Alonso-Sáez |  Antonio S. Palacio |  Ana M. Cabello |  Semidán Robaina-Estévez |  José M. González |  Laurence Garczarek |  Ángel López-Urrutia,1
10.1128/spectrum.03275-22,2023,Microbiology Spectrum,Integrated Proteomic and Metabolomic Analyses Show Differential Effects of Glucose Availability in Marine Synechococcus and Prochlorococcus,José Ángel Moreno-Cabezuelo | Guadalupe Gómez-Baena | Jesús Díez | José Manuel García-Fernández,8
10.1093/ismeco/ycae131,2024,ISME Communications,Emergence of metabolic coupling to the heterotroph Alteromonas promotes dark survival in Prochlorococcus,Allison Coe | Rogier Braakman | Steven J. Biller | Aldo Arellano | Christina Bliem | Nhi N. Vo | Konnor von Emster | Elaina Thomas | Michelle DeMers | Claudia Steglich | Jef Huisman | Sallie W. Chisholm,1
10.1101/2025.08.05.668435,2025,bioRxiv,Biofilm formation and dynamics in the marine cyanobacterium Prochlorococcus,Maya I. Anjur-Dietrich | Katelyn G. Jones | James I. Mullet | Nhi N. Vo | Kurt G. Castro | Sierra M. Parker | Sallie W. Chisholm,1
10.1101/2025.11.24.690089,2025,bioRxiv,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,Osnat Weissberg | Dikla Aharonovich | Daniel Sher,5
