marker_id,gene,product,strain,clade,organism,locus_tag,protein_accession,aa_sequence_in_kg
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),CC9311,I,Synechococcus CC9311,sync_2321,,False
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),WH8109,II,Synechococcus WH8109,Syncc8109_2277,WP_025362496.1,True
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),WH8102,III,Synechococcus WH8102,SYNW0486,WP_011127358.1,True
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),BL107,IV,Synechococcus sp. BL107,BL107_16740,WP_037989047.1,True
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),WH7803,V,Synechococcus WH7803,SynWH7803_2025,WP_011933917.1,True
m001,cpeR,phycoerythrin operon regulator,CC9311,I,Synechococcus CC9311,SYNC_RS13690,WP_071813674.1,True
m001,cpeR,phycoerythrin operon regulator,WH8109,II,Synechococcus WH8109,Syncc8109_RS11510,WP_071823038.1,True
m001,cpeR,phycoerythrin operon regulator,WH8102,III,Synechococcus WH8102,SYNW2004,WP_011128862.1,True
m001,cpeR,phycoerythrin operon regulator,BL107,IV,Synechococcus sp. BL107,BL107_08981,WP_009789002.1,True
m001,cpeR,phycoerythrin operon regulator,WH7803,V,Synechococcus WH7803,SynWH7803_0497,WP_011932411.1,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,CC9311,I,Synechococcus CC9311,sync_0492,WP_011618451.1,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,WH8109,II,Synechococcus WH8109,Syncc8109_0442,WP_006849863.1,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,WH8102,III,Synechococcus WH8102,SYNW2019,WP_144416645.1,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,BL107,IV,Synechococcus sp. BL107,BL107_08896,WP_037988036.1,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,WH7803,V,Synechococcus WH7803,SynWH7803_0483,WP_011932397.1,True
m003,hli,high light inducible protein,CC9311,I,Synechococcus CC9311,sync_1851,WP_011619768.1,True
m003,hli,high light inducible protein,WH8109,II,Synechococcus WH8109,Syncc8109_2642,WP_006850938.1,True
m003,hli,high light inducible protein,WH8102,III,Synechococcus WH8102,TX72_RS12145,WP_042503987.1,True
m003,hli,high light inducible protein,BL107,IV,Synechococcus sp. BL107,BL107_07124,WP_009788649.1,True
m003,hli,high light inducible protein,WH7803,V,Synechococcus WH7803,SynWH7803_0797,WP_011932705.1,True
m004,hli,high light inducible protein,CC9311,I,Synechococcus CC9311,sync_1818,WP_011619735.1,True
m004,hli,high light inducible protein,WH8109,II,Synechococcus WH8109,Syncc8109_1185,WP_006850846.1,True
m004,hli,high light inducible protein,WH8102,III,Synechococcus WH8102,SYNW1331,WP_042503533.1,True
m004,hli,high light inducible protein,BL107,IV,Synechococcus sp. BL107,BL107_12520,WP_009789681.1,True
m004,hli,high light inducible protein,WH7803,V,Synechococcus WH7803,SynWH7803_0823,WP_011932731.1,True
m005,kaiA,circadian clock protein kaiA,CC9311,I,Synechococcus CC9311,sync_2222,WP_041427084.1,True
m005,kaiA,circadian clock protein kaiA,WH8109,II,Synechococcus WH8109,Syncc8109_50026,,False
m005,kaiA,circadian clock protein kaiA,WH8102,III,Synechococcus WH8102,SYNW0548,WP_011127417.1,True
m005,kaiA,circadian clock protein kaiA,BL107,IV,Synechococcus sp. BL107,BL107_16390,WP_009790435.1,True
m005,kaiA,circadian clock protein kaiA,WH7803,V,Synechococcus WH7803,SynWH7803_1966,WP_011933862.1,True
m006,mpeA,"C-phycoerythrin class II, alpha chain",CC9311,I,Synechococcus CC9311,sync_0504,WP_011618463.1,True
m006,mpeA,"C-phycoerythrin class II, alpha chain",WH8109,II,Synechococcus WH8109,Syncc8109_0460,WP_006850994.1,True
m006,mpeA,"C-phycoerythrin class II, alpha chain",WH8102,III,Synechococcus WH8102,SYNW2009,WP_011128867.1,True
m006,mpeA,"C-phycoerythrin class II, alpha chain",BL107,IV,Synechococcus sp. BL107,BL107_08951,WP_009788996.1,True
m006,mpeA,"C-phycoerythrin class II, alpha chain",WH7803,V,Synechococcus WH7803,SynWH7803_0492,WP_011932406.1,True
m007,mpeB,"C-phycoerythrin class II, beta chain",CC9311,I,Synechococcus CC9311,sync_0505,WP_041426329.1,True
m007,mpeB,"C-phycoerythrin class II, beta chain",WH8109,II,Synechococcus WH8109,Syncc8109_0461,WP_006850273.1,True
m007,mpeB,"C-phycoerythrin class II, beta chain",WH8102,III,Synechococcus WH8102,SYNW2008,WP_011128866.1,True
m007,mpeB,"C-phycoerythrin class II, beta chain",BL107,IV,Synechococcus sp. BL107,BL107_08956,WP_037988737.1,True
