marker_id,marker_set,gene,product,organism,locus_tag,pfam_entries,max_genes_sharing_a_domain,domain_paralog_flag
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus CC9311,sync_2209,,,no_pfam_annotation
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus WH8109,Syncc8109_2196,,,no_pfam_annotation
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus WH8102,SYNW0561,,,no_pfam_annotation
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus sp. BL107,BL107_16315,,,no_pfam_annotation
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus WH7803,SynWH7803_1952,,,no_pfam_annotation
six_strain:0,six_strain,,uncharacterized conserved membrane protein,Synechococcus PCC 7002,SYNPCC7002_A1551,,,no_pfam_annotation
five_strain:1,five_strain,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Synechococcus CC9311,sync_2321,pfam:PF00427;pfam:PF00502,12,shares_domain
five_strain:1,five_strain,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Synechococcus WH8109,Syncc8109_2277,pfam:PF00427;pfam:PF00502,12,shares_domain
five_strain:1,five_strain,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Synechococcus WH8102,SYNW0486,pfam:PF00427;pfam:PF00502,12,shares_domain
five_strain:1,five_strain,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Synechococcus sp. BL107,BL107_16740,pfam:PF00427;pfam:PF00502,12,shares_domain
five_strain:1,five_strain,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Synechococcus WH7803,SynWH7803_2025,pfam:PF00427;pfam:PF00502,12,shares_domain
five_strain:2,five_strain,cpeR,phycoerythrin operon regulator,Synechococcus CC9311,SYNC_RS13690,,,no_pfam_annotation
five_strain:2,five_strain,cpeR,phycoerythrin operon regulator,Synechococcus WH8109,Syncc8109_RS11510,pfam:PF00106,10,shares_domain
five_strain:2,five_strain,cpeR,phycoerythrin operon regulator,Synechococcus WH8102,SYNW2004,,,no_pfam_annotation
five_strain:2,five_strain,cpeR,phycoerythrin operon regulator,Synechococcus sp. BL107,BL107_08981,,,no_pfam_annotation
five_strain:2,five_strain,cpeR,phycoerythrin operon regulator,Synechococcus WH7803,SynWH7803_0497,,,no_pfam_annotation
five_strain:3,five_strain,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Synechococcus CC9311,sync_0492,pfam:PF09367,0,clean
five_strain:3,five_strain,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Synechococcus WH8109,Syncc8109_0442,pfam:PF09367,0,clean
five_strain:3,five_strain,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Synechococcus WH8102,SYNW2019,pfam:PF09367,0,clean
five_strain:3,five_strain,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Synechococcus sp. BL107,BL107_08896,pfam:PF09367,0,clean
five_strain:3,five_strain,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Synechococcus WH7803,SynWH7803_0483,pfam:PF09367,0,clean
five_strain:4,five_strain,hli,high light inducible protein,Synechococcus CC9311,sync_1851,pfam:PF00504,17,shares_domain
five_strain:4,five_strain,hli,high light inducible protein,Synechococcus WH8109,Syncc8109_2642,pfam:PF00504,9,shares_domain
five_strain:4,five_strain,hli,high light inducible protein,Synechococcus WH8102,TX72_RS12145,pfam:PF00504,9,shares_domain
five_strain:4,five_strain,hli,high light inducible protein,Synechococcus sp. BL107,BL107_07124,pfam:PF00504,11,shares_domain
five_strain:4,five_strain,hli,high light inducible protein,Synechococcus WH7803,SynWH7803_0797,pfam:PF00504,10,shares_domain
five_strain:5,five_strain,hli,high light inducible protein,Synechococcus CC9311,sync_1818,pfam:PF00504,17,shares_domain
five_strain:5,five_strain,hli,high light inducible protein,Synechococcus WH8109,Syncc8109_1185,pfam:PF00504,9,shares_domain
five_strain:5,five_strain,hli,high light inducible protein,Synechococcus WH8102,SYNW1331,pfam:PF00504,9,shares_domain
five_strain:5,five_strain,hli,high light inducible protein,Synechococcus sp. BL107,BL107_12520,pfam:PF00504,11,shares_domain
