marker_id,gene,product,category,annotated,multi_copy_family,cross_aligns_another_marker,acc_CC9311,locus_CC9311,acc_WH8109,locus_WH8109,acc_WH8102,locus_WH8102,acc_BL107,locus_BL107,acc_WH7803,locus_WH7803,domain_paralog_check,accessions_available,recommended_as_query
m001,cpeR,phycoerythrin operon regulator,Photosynthesis,True,False,False,WP_071813674.1,SYNC_RS13690,WP_071823038.1,Syncc8109_RS11510,WP_011128862.1,SYNW2004,WP_009789002.1,BL107_08981,WP_011932411.1,SynWH7803_0497,shares_domain,5,True
m002,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,True,False,False,WP_011618451.1,sync_0492,WP_006849863.1,Syncc8109_0442,WP_144416645.1,SYNW2019,WP_037988036.1,BL107_08896,WP_011932397.1,SynWH7803_0483,clean,5,True
m000,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Photosynthesis,True,False,True,,sync_2321,WP_025362496.1,Syncc8109_2277,WP_011127358.1,SYNW0486,WP_037989047.1,BL107_16740,WP_011933917.1,SynWH7803_2025,shares_domain,4,False
m003,hli,high light inducible protein,Stress response and adaptation,True,True,True,WP_011619768.1,sync_1851,WP_006850938.1,Syncc8109_2642,WP_042503987.1,TX72_RS12145,WP_009788649.1,BL107_07124,WP_011932705.1,SynWH7803_0797,shares_domain,5,False
m004,hli,high light inducible protein,Stress response and adaptation,True,True,True,WP_011619735.1,sync_1818,WP_006850846.1,Syncc8109_1185,WP_042503533.1,SYNW1331,WP_009789681.1,BL107_12520,WP_011932731.1,SynWH7803_0823,shares_domain,5,False
m005,kaiA,circadian clock protein kaiA,Cellular processes,True,False,False,WP_041427084.1,sync_2222,,Syncc8109_50026,WP_011127417.1,SYNW0548,WP_009790435.1,BL107_16390,WP_011933862.1,SynWH7803_1966,clean,4,False
m006,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,True,False,True,WP_011618463.1,sync_0504,WP_006850994.1,Syncc8109_0460,WP_011128867.1,SYNW2009,WP_009788996.1,BL107_08951,WP_011932406.1,SynWH7803_0492,shares_domain,5,False
m007,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,True,False,True,WP_041426329.1,sync_0505,WP_006850273.1,Syncc8109_0461,WP_011128866.1,SYNW2008,WP_037988737.1,BL107_08956,WP_011932407.1,SynWH7803_0493,shares_domain,5,False
m011,unk7,nif11-like leader peptide domain protein,Unknown,True,False,True,WP_041426330.1,SYNC_RS02450,WP_071823037.1,Syncc8109_0465,WP_042503822.1,TX72_RS10080,WP_009789001.1,BL107_08976,WP_011932410.1,SynWH7803_0496,shares_domain,5,False
m008,unk11,conserved hypothetical protein,Unknown,False,False,False,WP_148201806.1,SYNC_RS14125,,Syncc8109_50007,WP_148228813.1,SYNW2014,,BL107_08926,,SynWH7803_2535,shares_domain,2,False
m009,unk12,conserved hypothetical protein,Unknown,False,False,False,WP_041426327.1,sync_0498,WP_071823033.1,Syncc8109_RS11475,WP_318655395.1,SYNW2015,WP_009788990.1,BL107_08921,WP_011932404.1,SynWH7803_0490,clean,5,False
