locus_tag,gene_name,product,gene_category,contig,start,end,strand,role,ko_id,ko_name,ko_substrate,brite_leaf,tcdb_id,tcdb_name,substrate_call,resolution_level,organic_or_inorganic,substrate_source,substrate_confidence,substrate_evidence,substrate_options,sources
EZ55_00037,trkH,TrkH family potassium uptake protein,Inorganic ion transport,NZ_OX359237.1,40951,42402,+,,kegg.orthology:K03498,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.38.1,2.A.38.1,potassium,specific_compound,inorganic,kegg_ko_keyword,inferred,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,brite;kegg;tcdb;func
EZ55_00038,trkA,Trk system potassium transporter TrkA,Inorganic ion transport,NZ_OX359237.1,42517,43896,-,SBP,kegg.orthology:K03499,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.38.1,2.A.38.1,potassium,specific_compound,inorganic,kegg_ko_keyword,inferred,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,brite;kegg;tcdb;func
EZ55_00043,dprA,DNA-processing protein DprA,Replication and repair,NZ_OX359237.1,48081,49190,+,,kegg.orthology:K04096,smf; DNA processing protein,,,,,unresolved,unresolved,,,none,smf; DNA processing protein,,func
EZ55_00085,,hypothetical protein,Inorganic ion transport,NZ_OX359237.1,88205,88678,+,SBP,,,,,,,phosphate,specific_compound,inorganic,function_description,inferred,"COG0226 ABC-type phosphate transport system, periplasmic component",,func
EZ55_00098,cyc,c-type cytochrome,Energy production,NZ_OX359237.1,103273,103680,-,,kegg.orthology:K02277,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,,tcdb:3.D.4.4,3.D.4.4,unresolved,unresolved,,,none,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,tcdb
EZ55_00100,nhaC,Na+/H+ antiporter NhaC,Energy production,NZ_OX359237.1,104214,105626,+,,kegg.orthology:K03315,"nhaC; Na+:H+ antiporter, NhaC family",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.35,The NhaC Na+:H+ Antiporter (NhaC) Family,unresolved,unresolved,,,none,"nhaC; Na+:H+ antiporter, NhaC family",,brite;kegg;tcdb;func
EZ55_00101,cudT,BCCT family transporter,Inorganic ion transport,NZ_OX359237.1,105730,107499,+,,kegg.orthology:K03451,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine/carnitine,,tcdb:2.A.15,The Betaine/Carnitine/Choline Transporter (BCCT) Family,betaine/carnitine,multi_substrate,organic,kegg_ko,confident,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine; carnitine,kegg;tcdb;func
EZ55_00107,,TonB-dependent siderophore receptor,Inorganic ion transport,NZ_OX359237.1,112542,114635,+,,kegg.orthology:K16088,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,Pores ion channels [TC:1],tcdb:1.B.14.1.10,1.B.14.1.10,iron/siderophore,specific_compound,inorganic,kegg_ko_keyword,inferred,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,brite;tcdb;func
EZ55_00114,,threonine/serine exporter family protein,Unknown,NZ_OX359237.1,121448,122674,-,,,,,,,,serine/threonine,multi_substrate,organic,product,inferred,threonine/serine exporter family protein,serine; threonine,func
EZ55_00138,,extracellular solute-binding protein,Inorganic ion transport,NZ_OX359237.1,145358,146392,+,SBP,kegg.orthology:K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuA, fbpA; iron(III) transport system substrate-binding protein",,brite;kegg;tcdb;func
EZ55_00139,sfuB,ABC transporter permease,Inorganic ion transport,NZ_OX359237.1,146389,147909,+,PERM,kegg.orthology:K02011,"afuB, fbpB; iron(III) transport system permease protein",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuB, fbpB; iron(III) transport system permease protein",,brite;kegg;tcdb;func
EZ55_00140,,ABC transporter ATP-binding protein,Inorganic ion transport,NZ_OX359237.1,147909,148940,+,ATP,kegg.orthology:K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",,brite;kegg;tcdb;func
EZ55_00147,argP,ArgP/LysG family DNA-binding transcriptional regulator,Transcription,NZ_OX359237.1,155129,156013,-,,kegg.orthology:K05596,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator","LysR family transcriptional regulator, arginine and lysine",,,,unresolved,unresolved,,,none,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator",,kegg
EZ55_00148,argO,LysE/ArgO family amino acid transporter,Unknown,NZ_OX359237.1,156191,156793,+,PERM,kegg.orthology:K06895,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.75.1,2.A.75.1,lysine,specific_compound,organic,kegg_ko_keyword,inferred,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,brite;tcdb;func
EZ55_00149,sugE,DMT family transporter,Inorganic ion transport,NZ_OX359237.1,156909,157226,+,,kegg.orthology:K11741,sugE; quaternary ammonium compound-resistance protein SugE,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.1,2.A.7.1,unresolved,unresolved,,,none,sugE; quaternary ammonium compound-resistance protein SugE,,brite;tcdb;func
EZ55_00152,acrA,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,159244,160389,+,,kegg.orthology:K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,Accessory factors involved in transport [TC:8],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,brite;kegg;tcdb;func
EZ55_00153,ttgB,efflux RND transporter permease subunit,Defense mechanisms,NZ_OX359237.1,160411,163509,+,PERM,kegg.orthology:K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.2.16,2.A.6.2.16,unresolved,unresolved,,,none,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,brite;kegg;tcdb;func
EZ55_00165,gstA,glutathione S-transferase,Post-translational modification,NZ_OX359237.1,176955,177623,+,,kegg.orthology:K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,Pores ion channels [TC:1],tcdb:1.A.12.2.2,1.A.12.2.2,unresolved,unresolved,,,none,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,brite;tcdb
EZ55_00168,mgtE,magnesium transporter,Inorganic ion transport,NZ_OX359237.1,180363,181700,+,,kegg.orthology:K06213,mgtE; magnesium transporter,magnesium,Pores ion channels [TC:1],tcdb:1.A.26.1,1.A.26.1,magnesium,specific_compound,inorganic,kegg_ko,confident,mgtE; magnesium transporter,,brite;kegg;tcdb;func
