system_id,locus_tags,gene_names,n_genes,KO_ids,component_roles,substrate_call,resolution_level,confidence_flag,source,substrate_evidence,substrate_options,importer_or_exporter,organic_or_inorganic,gene_categories
EZ55_TS001,EZ55_00037,trkH,1,kegg.orthology:K03498,-,potassium,specific_compound,inferred,kegg_ko_keyword,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
EZ55_TS002,EZ55_00038,trkA,1,kegg.orthology:K03499,SBP,potassium,specific_compound,inferred,kegg_ko_keyword,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
EZ55_TS003,EZ55_00043,dprA,1,kegg.orthology:K04096,-,unresolved,unresolved,none,,smf; DNA processing protein,,importer,unknown,Replication and repair
EZ55_TS004,EZ55_00085,,1,,SBP,phosphate,specific_compound,inferred,function_description,"COG0226 ABC-type phosphate transport system, periplasmic component",,importer,inorganic,Inorganic ion transport
EZ55_TS005,EZ55_00098,cyc,1,kegg.orthology:K02277,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,non_transporter,unknown,Energy production
EZ55_TS006,EZ55_00100,nhaC,1,kegg.orthology:K03315,-,unresolved,unresolved,none,,"nhaC; Na+:H+ antiporter, NhaC family",,importer,unknown,Energy production
EZ55_TS007,EZ55_00101,cudT,1,kegg.orthology:K03451,-,betaine/carnitine,multi_substrate,confident,kegg_ko,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine; carnitine,importer,organic,Inorganic ion transport
EZ55_TS008,EZ55_00107,,1,kegg.orthology:K16088,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,importer,inorganic,Inorganic ion transport
EZ55_TS009,EZ55_00114,,1,,-,serine/threonine,multi_substrate,inferred,product,threonine/serine exporter family protein,serine; threonine,exporter,organic,Unknown
EZ55_TS010,EZ55_00138;EZ55_00139;EZ55_00140,;sfuB;,3,kegg.orthology:K02012;kegg.orthology:K02011;kegg.orthology:K02010,SBP;PERM;ATP,iron(III),specific_compound,confident,kegg_ko,"afuA, fbpA; iron(III) transport system substrate-binding protein",,importer,inorganic,Inorganic ion transport
EZ55_TS011,EZ55_00147,argP,1,kegg.orthology:K05596,-,unresolved,unresolved,none,,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator",,importer,unknown,Transcription
EZ55_TS012,EZ55_00148,argO,1,kegg.orthology:K06895,PERM,lysine,specific_compound,inferred,kegg_ko_keyword,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,exporter,organic,Unknown
EZ55_TS013,EZ55_00149,sugE,1,kegg.orthology:K11741,-,unresolved,unresolved,none,,sugE; quaternary ammonium compound-resistance protein SugE,,importer,unknown,Inorganic ion transport
EZ55_TS014,EZ55_00152;EZ55_00153,acrA;ttgB,2,kegg.orthology:K03585;kegg.orthology:K18138,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS015,EZ55_00165,gstA,1,kegg.orthology:K00799,-,unresolved,unresolved,none,,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,importer,unknown,Post-translational modification
EZ55_TS016,EZ55_00168,mgtE,1,kegg.orthology:K06213,-,magnesium,specific_compound,confident,kegg_ko,mgtE; magnesium transporter,,importer,inorganic,Inorganic ion transport
EZ55_TS017,EZ55_00169,rarD,1,kegg.orthology:K05786,-,unresolved,unresolved,none,,rarD; chloramphenicol-sensitive protein RarD,,importer,unknown,Unknown
