locus_tag,contig,start,end,strand,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,cog,gene_category,anchor,role_first_pass
ACZ81_00555,NZ_CP012202.1,121674,122381,+,tRNA (guanosine(18)-2^-O)-methyltransferase TrmH,Catalyzes the 2^-O methylation of guanosine at position 18 in tRNA,K00556,trmH; tRNA (guanosine-2^-O-)-methyltransferase [EC:2.1.1.34],,"Translation, ribosomal structure and biogenesis",Translation,Fe3_ABC_K02010-12,catabolic
ACZ81_00560,NZ_CP012202.1,122576,124648,+,ATP-dependent DNA helicase RecG,"Plays a critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has replication fork regression activity, unwinds stalled or blocked replication forks to make a HJ that can be resolved. Has a DNA unwinding activity characteristic of a DNA helicase with 3^-5^ polarity",K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4],,"Replication, recombination and repair",Replication and repair,Fe3_ABC_K02010-12,unclear
ACZ81_00565,NZ_CP012202.1,124641,125426,+,class I SAM-dependent methyltransferase,Specifically methylates the guanosine in position 1516 of 16S rRNA,K15984,rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242],,"Translation, ribosomal structure and biogenesis",Translation,Fe3_ABC_K02010-12,catabolic
ACZ81_00570,NZ_CP012202.1,125428,125901,+,peroxiredoxin,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides",,,,"Post-translational modification, protein turnover, chaperones",Post-translational modification,Fe3_ABC_K02010-12,unclear
ACZ81_00575,NZ_CP012202.1,126333,127142,+,hypothetical protein,,,,,,Unknown,Fe3_ABC_K02010-12,unclear
ACZ81_00580,NZ_CP012202.1,127152,128186,+,extracellular solute-binding protein,"ABC-type Fe3 transport system, periplasmic component",K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein",3.A.1.10,Inorganic ion transport and metabolism,Inorganic ion transport,Fe3_ABC_K02010-12,substrate-binding
ACZ81_00585,NZ_CP012202.1,128183,129703,+,ABC transporter permease,"COG1178 ABC-type Fe3 transport system, permease component",K02011,"afuB, fbpB; iron(III) transport system permease protein",3.A.1.10,Inorganic ion transport and metabolism,Inorganic ion transport,Fe3_ABC_K02010-12,permease
ACZ81_00590,NZ_CP012202.1,129703,130734,+,ABC transporter ATP-binding protein,Belongs to the ABC transporter superfamily,K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",3.A.1.10,Inorganic ion transport and metabolism,Inorganic ion transport,Fe3_ABC_K02010-12,ATP-binding
ACZ81_00595,NZ_CP012202.1,130737,131918,+,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,flavoproteins,K07007,"baiN; 3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]",,Function unknown,Unknown,Fe3_ABC_K02010-12,catabolic
ACZ81_00600,NZ_CP012202.1,131972,132172,-,LapA family protein,,,,,,Unknown,Fe3_ABC_K02010-12,unclear
ACZ81_00605,NZ_CP012202.1,132325,132537,+,hypothetical protein,,,,,,Unknown,Fe3_ABC_K02010-12,unclear
ACZ81_00610,NZ_CP012202.1,132581,133099,+,hypothetical protein,,,,,,Unknown,Fe3_ABC_K02010-12,unclear
ACZ81_02440,NZ_CP012202.1,553313,554038,-,YitT family protein,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",,,,Function unknown,Unknown,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
ACZ81_02445,NZ_CP012202.1,554261,554572,-,hypothetical protein,,,,,,Unknown,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
ACZ81_02450,NZ_CP012202.1,554665,555051,-,VOC family protein,COG0346 Lactoylglutathione lyase and related lyases,K01759,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]",,Amino acid transport and metabolism,Amino acid metabolism,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,catabolic
ACZ81_RS21440,NZ_CP012202.1,555100,555495,-,Rho-binding antiterminator,Modulator of Rho-dependent transcription termination,K19000,rof; Rho-binding antiterminator,,Transcription,Transcription,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
