organism_name,locus_tag,system_id,system_size,class_,class_reason,carrier_family,carrier_type_abc,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors,control_confident,in_candidate,reference_class
Alteromonas macleodii HOT1A3,ACZ81_00185,ACZ81_S0001,2,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_00180,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_00190,ACZ81_S0001,2,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,hypothetical protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_00180,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_00385,ACZ81_S0077,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,cudT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K03451,The Betaine/Carnitine/Choline Transporter (BCCT) Family,betaine/carnitine,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_00870,ACZ81_S0003,1,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-orphan-SBP,substrate-binding,SBP_bac_1,ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,K02027,3.A.1.1,multiple sugar,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_00985,ACZ81_S0095,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,sglT :: sodium/sugar symporter :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,The Solute:Sodium Symporter (SSS) Family,solute:Na+,confident,KO,organic-C,importer,NA,ACZ81_00980,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_01580,ACZ81_S0109,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Nuc_H_symport,nucleoside permease :: LacY proton/sugar symporter,K05820,2.A.1.27,nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,ACZ81_01575|ACZ81_01585,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_02465,ACZ81_S0009,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC transporter,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_02855,ACZ81_S0134,1,carrier-family,resolved carbon-import secondary carrier (ampG :: AmpG family muropeptide MFS),secondary-carrier-organic,,secondary-carrier,Acatn ; MFS_1,ampG :: AmpG family muropeptide MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K08218,2.A.1.25,AmpG family muropeptide MFS,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_03335,ACZ81_S0144,1,carrier-family,resolved carbon-import secondary carrier (benzoate membrane),secondary-carrier-organic,,secondary-carrier,BenE,benE :: benzoate/H(+) symporter BenE family transporter :: protein involved in benzoate metabolism,K05782,2.A.46.1,benzoate membrane,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_03920,ACZ81_S0015,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,Peripla_BP_6,"ABC transporter substrate-binding protein :: COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component",K01999,3.A.1.4,branched-chain amino acid,confident,KO,dual-C+N,importer,NA,,,True,candidate
