organism_name,locus_tag,system_id,system_size,carrier_type,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors
Alteromonas macleodii HOT1A3,ACZ81_00080,ACZ81_S0071,1,secondary-carrier,secondary-carrier,TrkH,trkH :: TrkH family potassium uptake protein :: Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA,K03498,2.A.38.1 ; 2.A.38.4,trk/ktr system potassium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00085,ACZ81_S0072,1,other,other/unclear,TrkA_C ; TrkA_N,"trkA :: Trk system potassium transporter TrkA :: COG0569 K transport systems, NAD-binding component",K03499,2.A.38.1 ; 2.A.38.4,trk/ktr system potassium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00145,ACZ81_S0073,1,other,other/unclear,Shikimate_DH ; Shikimate_dh_N,"aroE :: shikimate dehydrogenase :: Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",K00014,,shikimate dehydrogenase [EC:1.1.1.25],confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00185,ACZ81_S0001,2,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_00180
Alteromonas macleodii HOT1A3,ACZ81_00190,ACZ81_S0001,2,ABC-orphan-SBP,substrate-binding,SBP_bac_3,hypothetical protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_00180
Alteromonas macleodii HOT1A3,ACZ81_00295,ACZ81_S0074,1,other,other/unclear,PBP_like_2,"hypothetical protein :: COG0226 ABC-type phosphate transport system, periplasmic component",,,unresolved,inferred,none,inorganic,importer,NA,ACZ81_00290
Alteromonas macleodii HOT1A3,ACZ81_00360,ACZ81_S0075,1,other,other/unclear,Cytochrome_CBB3,cyc :: c-type cytochrome :: COG3245 Cytochrome c5,K02277,3.D.4.4,cytochrome c oxidase subunit IV [EC:7.1.1.9],confident,KO,ambiguous,importer,NA,ACZ81_00355
Alteromonas macleodii HOT1A3,ACZ81_00380,ACZ81_S0076,1,other,other/unclear,Na_H_antiporter,nhaC :: Na+/H+ antiporter NhaC :: Na+/H+ antiporter family,K03315,The NhaC Na+:H+ Antiporter (NhaC) Family,Na+:H+,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00385,ACZ81_S0077,1,other,other/unclear,BCCT,cudT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K03451,The Betaine/Carnitine/Choline Transporter (BCCT) Family,betaine/carnitine,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00430,ACZ81_S0078,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent siderophore receptor :: TonB dependent receptor,K16088,1.B.14.1.10 ; 1.B.14.1.3 ; 1.B.14.1.8,outer-membrane,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00450,ACZ81_S0079,1,other,other/unclear,HTH_1 ; LysR_substrate,LysR family transcriptional regulator :: Transcriptional regulator,,,LysR family transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_00445|ACZ81_00455
Alteromonas macleodii HOT1A3,ACZ81_00470,ACZ81_S0080,1,other,other/unclear,ThrE ; ThrE_2,"threonine/serine exporter family protein :: Threonine/Serine exporter, ThrE",,,unresolved,inferred,none,ambiguous,exporter,NA,ACZ81_00475
Alteromonas macleodii HOT1A3,ACZ81_00580,ACZ81_S0002,3,ABC-cassette-complete,substrate-binding,SBP_bac_6,"extracellular solute-binding protein :: ABC-type Fe3 transport system, periplasmic component",K02012,3.A.1.10,iron(III),confident,KO,inorganic,importer,NA,ACZ81_00595
Alteromonas macleodii HOT1A3,ACZ81_00585,ACZ81_S0002,3,ABC-cassette-complete,permease,BPD_transp_1,"sfuB :: ABC transporter permease :: COG1178 ABC-type Fe3 transport system, permease component",K02011,3.A.1.10,iron(III),confident,KO,inorganic,importer,NA,ACZ81_00595
Alteromonas macleodii HOT1A3,ACZ81_00590,ACZ81_S0002,3,ABC-cassette-complete,ATP-binding,ABC_tran ; TOBE_2,ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,K02010,3.A.1.10,iron(III),confident,KO,inorganic,importer,NA,ACZ81_00595
