system_label,locus_tag,contig,start,end,strand,gap_to_prev,product,gene_summary,pfam_domains,role_from_pfam,kegg_ko_id,tcdb_family,substrate_hint,rule_check,feat_reason
HOT1A3_qc_01_iron/metal/inorganic,ACZ81_00580,NZ_CP012202.1,127152,128186,+,,extracellular solute-binding protein,"extracellular solute-binding protein :: ABC-type Fe3 transport system, periplasmic component",SBP_bac_6,substrate-binding,K02012,3.A.1.10,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_00575(other/unclear) R=non-transport@ACZ81_00595(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_01_iron/metal/inorganic,ACZ81_00585,NZ_CP012202.1,128183,129703,+,-3,ABC transporter permease,"sfuB :: ABC transporter permease :: COG1178 ABC-type Fe3 transport system, permease component",BPD_transp_1,permease,K02011,3.A.1.10,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_00575(other/unclear) R=non-transport@ACZ81_00595(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_01_iron/metal/inorganic,ACZ81_00590,NZ_CP012202.1,129703,130734,+,0,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,ABC_tran ; TOBE_2,ATP-binding,K02010,3.A.1.10,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_00575(other/unclear) R=non-transport@ACZ81_00595(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_02_sugar/carbohydrate,ACZ81_00870,NZ_CP012202.1,189901,191142,+,,ABC transporter substrate-binding protein,ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,SBP_bac_1,substrate-binding,K02027,3.A.1.1,sugar/carbohydrate,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_00865(other/unclear) R=strand-flip@ACZ81_00875; rule correctly refused to group",sugar-family orphan-SBP
HOT1A3_qc_03_amino_acid,ACZ81_02465,NZ_CP012202.1,557100,557897,+,,substrate-binding periplasmic protein,substrate-binding periplasmic protein :: ABC transporter,SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_02460(other/unclear) R=non-transport@ACZ81_02470(other/unclear); rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_04_iron/metal/inorganic,ACZ81_03160,NZ_CP012202.1,703265,704674,+,,CmpA/NrtA family ABC transporter substrate-binding protein,"nrtC :: CmpA/NrtA family ABC transporter substrate-binding protein :: COG0715 ABC-type nitrate sulfonate bicarbonate transport systems, periplasmic components",NMT1_2,substrate-binding,K15576,3.A.1.16.1 ; 3.A.1.16.2,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_03155(other/unclear) R=non-transport@ACZ81_03175(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_04_iron/metal/inorganic,ACZ81_03165,NZ_CP012202.1,704763,705758,+,89,ABC transporter permease,"nrtB :: ABC transporter permease :: ABC-type nitrate sulfonate bicarbonate transport system, permease component",BPD_transp_1,permease,K15577,3.A.1.16.1 ; 3.A.1.16.2,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_03155(other/unclear) R=non-transport@ACZ81_03175(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_04_iron/metal/inorganic,ACZ81_03170,NZ_CP012202.1,705775,706677,+,17,ABC transporter ATP-binding protein,"nasD :: ABC transporter ATP-binding protein :: COG1116 ABC-type nitrate sulfonate bicarbonate transport system, ATPase component",ABC_tran,ATP-binding,K15578,3.A.1.16.1,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_03155(other/unclear) R=non-transport@ACZ81_03175(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_05_amino_acid,ACZ81_03920,NZ_CP012202.1,883051,884229,-,,ABC transporter substrate-binding protein,"ABC transporter substrate-binding protein :: COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component",Peripla_BP_6,substrate-binding,K01999,3.A.1.4,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=role-clash-sensor-kinase@ACZ81_03915 R=strand-flip@ACZ81_03925; rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_06_peptide,ACZ81_05440,NZ_CP012202.1,1233165,1233971,-,,ATP-binding cassette domain-containing protein,"dppF :: ATP-binding cassette domain-containing protein :: ABC transporter, ATP-binding protein",ABC_tran ; oligo_HPY,ATP-binding,K12372 ; K19230,3.A.1.5.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 2 ATPase); stops L=strand-flip@ACZ81_05435 R=non-transport@ACZ81_05465(other/unclear); substrate~peptide,complete-cassette-peptide
