locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_01475,aer2,methyl-accepting chemotaxis protein,days 60+89,-5.654799427443318,2.7384597865902085e-29,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01465,cheA,chemotaxis protein CheA,days 60+89,-5.328453510883864,2.367398696944381e-18,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01470,cheW,chemotaxis protein CheW,days 60+89,-5.302870800511328,1.470271159661806e-17,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01460,cheY1,response regulator,days 60+89,-4.729392384526226,1.5028596461607726e-12,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-4.605491016521965,8.186107045458689e-14,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-4.573182817101836,3.935614929960611e-11,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01455,,methyl-accepting chemotaxis protein,days 60+89,-4.050633438898988,1.6128480518780408e-10,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-3.992392104871091,3.640837040039559e-33,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_04975,flgN,flagellar export chaperone FlgN,days 60+89,-3.872494115406892,3.9615657746543144e-67,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,days 60+89,-3.682195189224242,1.2990970696279284e-35,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01485,cheR,CheR family methyltransferase,days 60+89,-3.659537981433073,1.5658965358566445e-15,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_05080,fliD,flagellar filament capping protein FliD,days 60+89,-3.6453348438711983,1.2990970696279284e-35,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_01470,cheW,chemotaxis protein CheW,day 18,-3.51824423284705,1.054757753647019e-05,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
ACZ81_05025,flgG,flagellar basal-body rod protein FlgG,days 60+89,-3.2914782420644944,7.851965502225069e-11,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_axenic
