cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,kegg.pathway:ko02030,Bacterial chemotaxis,19,36,19/268,4.381737147595356,2.405557975745844e-09,3.2234476874994306e-07,-6.4916793734487435
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,kegg.pathway:ko02030,Bacterial chemotaxis,18,36,18/264,4.2140151515151505,1.564123449841585e-08,2.095925422787724e-06,-5.678624174478379
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,kegg.pathway:ko00190,Oxidative phosphorylation,15,29,15/264,4.359326018808777,1.478658407148013e-07,9.907011327891687e-06,-5.004057340425433
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,kegg.pathway:ko00190,Oxidative phosphorylation,14,29,14/268,4.007977354606279,1.4147510756409654e-06,9.478832206794468e-05,-4.023245164495831
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,kegg.pathway:ko00190,Oxidative phosphorylation,14,29,14/265,4.053350683148992,1.229381068824794e-06,0.0001647370632225224,-3.7832086804770255
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,kegg.pathway:ko03070,Bacterial secretion system,10,19,10/264,4.435805422647528,1.6328972022946562e-05,0.0007293607503582798,-3.1370576114108575
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,kegg.pathway:ko02030,Bacterial chemotaxis,14,36,14/265,3.2651991614255764,2.754978349380862e-05,0.0018458354940851776,-2.7338070070991622
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,kegg.pathway:ko02020,Two-component system,26,98,26/268,2.202634785257387,4.6647352242233403e-05,0.0020835817334864254,-2.681189458630789
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,kegg.pathway:ko02020,Two-component system,25,98,25/264,2.1500077303648735,0.0001030301808146933,0.0034515110572922256,-2.4619907309636933
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|down,down,days 60+89,kegg.pathway:ko03060,Protein export,7,12,7/264,4.91635101010101,0.00014337718105813466,0.0038425084523580092,-2.41538516851048
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 89|down,down,day 89,kegg.pathway:ko03070,Bacterial secretion system,9,19,9/268,3.9326394344069127,0.00014458909501503055,0.004843734683003523,-2.3148196534858863
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|up,up,day 31,kegg.pathway:ko00071,Fatty acid degradation,10,22,10/243,4.1619902731013845,3.9671016292083846e-05,0.005315916183139235,2.274421875262618
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|down,down,day 60,kegg.pathway:ko03070,Bacterial secretion system,9,19,9/265,3.9771598808341606,0.00013222279950451273,0.005905951711201569,-2.228710108275856
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|up,up,day 60,kegg.pathway:ko00071,Fatty acid degradation,11,22,11/321,3.465732087227414,7.604550923342489e-05,0.007303092743189204,2.1364931841456842
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 60|up,up,day 60,kegg.pathway:ko00280,"Valine, leucine and isoleucine degradation",13,30,13/321,3.0036344755970923,0.00010900138422670454,0.007303092743189204,2.1364931841456842
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|day 31|down,down,day 31,kegg.pathway:ko02030,Bacterial chemotaxis,11,36,11/179,3.7981067659838605,6.805925078682198e-05,0.009119939605434146,-2.0400080376708747
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|up,up,days 60+89,kegg.pathway:ko00071,Fatty acid degradation,11,22,11/337,3.3011869436201784,0.00012050803537098542,0.012213467455852795,1.9131610204811964
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_coculture|days 60+89|up,up,days 60+89,kegg.pathway:ko00280,"Valine, leucine and isoleucine degradation",13,30,13/337,2.861028684470821,0.00018229055904257904,0.012213467455852795,1.9131610204811964
