locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_01470,cheW,chemotaxis protein CheW,day 11,-2.4298863220758027,0.0094228920578177,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01475,aer2,methyl-accepting chemotaxis protein,day 11,-2.371986928647689,0.0019713071868627,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01465,cheA,chemotaxis protein CheA,day 11,-2.352616520373783,0.0078204769134465,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01460,cheY1,response regulator,day 11,-1.831221321571843,0.0934623406257096,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05145,,flagellin,day 11,-1.7601050236805158,0.0035390332408927,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01455,,methyl-accepting chemotaxis protein,day 11,-1.6215570821612268,0.1073958014684507,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01485,cheR,CheR family methyltransferase,day 11,-1.5519917865864308,0.0337741514905504,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01445,cheD,chemoreceptor glutamine deamidase CheD,day 11,1.4693736970378024,0.0725933963811806,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_16865,,hypothetical protein,day 11,-1.468648819190097,0.0986217716725829,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01450,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 11,1.34553155804079,0.0298343329377253,significant_up,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_01440,cheR,CheR family methyltransferase,day 11,1.2903219895548568,0.1227735113497627,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_RS21455,bdlA,hypothetical protein,day 11,-1.2649929381239169,0.1678214308734126,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05200,fliL,flagellar basal body-associated protein FliL,day 11,-1.2473159155986329,0.029242120415406,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05295,VP2226,chemotaxis protein CheW,day 11,-1.246820048531164,0.0502499411582563,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_16170,,chemotaxis protein CheX,day 11,-1.1742463335548792,0.2044371522435148,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_04970,,LPP20 family lipoprotein,day 11,-1.1586022609757929,0.112576046716137,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05000,flgB,flagellar basal body rod protein FlgB,day 11,-1.0955976240207566,0.3171990156377791,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05165,fliE,flagellar hook-basal body complex protein FliE,day 11,-1.0935119843463643,0.4492410633217107,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_04985,flgA,flagellar basal body P-ring formation chaperone FlgA,day 11,-1.0552757204394765,0.3075091641160421,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05280,cheA,chemotaxis protein CheA,day 11,-1.035358177447533,0.0152355506794168,significant_down,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05210,fliN,flagellar motor switch protein FliN,day 11,-1.0348760548606932,0.1637721860405307,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05020,flgF,flagellar basal body rod protein FlgF,day 11,-1.0299786847030152,0.416289740950405,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05270,cheY,chemotaxis response regulator CheY,day 11,-1.0207742889388205,0.0995436416020267,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05205,fliM,flagellar motor switch protein FliM,day 11,-0.9963344334856192,0.0428773709778894,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05005,flgC,flagellar basal body rod protein FlgC,day 11,-0.96210530230812,0.2928285517132459,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_00330,fliL2,flagellar basal body-associated protein FliL,day 11,-0.9373893301661974,0.1076823450594656,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05265,fliA,RNA polymerase sigma factor FliA,day 11,-0.9368946383783632,0.0666783547948548,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05040,flgJ,flagellar assembly peptidoglycan hydrolase FlgJ,day 11,-0.9112291511871552,0.1903998463279187,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_RS21445,bdlA,methyl-accepting chemotaxis protein,day 11,-0.910630331542668,0.3559212382029323,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05275,cheZ,protein phosphatase CheZ,day 11,-0.8985178423209716,0.0020993412932621,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_17485,,methyl-accepting chemotaxis protein,day 11,-0.8954752676002715,0.2534197021393272,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
ACZ81_05170,fliF,flagellar basal-body MS-ring/collar protein FliF,day 11,-0.8853455159286109,0.4060068125737116,not_significant,10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq
