system_id,locus_tags,gene_names,n_genes,KO_ids,component_roles,substrate_call,resolution_level,confidence_flag,source,substrate_evidence,substrate_options,importer_or_exporter,organic_or_inorganic,gene_categories
HOT1A3_TS001,ACZ81_00080,trkH,1,kegg.orthology:K03498,-,potassium,specific_compound,inferred,kegg_ko_keyword,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
HOT1A3_TS002,ACZ81_00085,trkA,1,kegg.orthology:K03499,SBP,potassium,specific_compound,inferred,kegg_ko_keyword,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,importer,inorganic,Inorganic ion transport
HOT1A3_TS003,ACZ81_00110,dprA,1,kegg.orthology:K04096,-,unresolved,unresolved,none,,smf; DNA processing protein,,importer,unknown,Replication and repair
HOT1A3_TS004,ACZ81_00295,,1,,SBP,phosphate,specific_compound,inferred,function_description,"COG0226 ABC-type phosphate transport system, periplasmic component",,importer,inorganic,Inorganic ion transport
HOT1A3_TS005,ACZ81_00360,cyc,1,kegg.orthology:K02277,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,non_transporter,unknown,Energy production
HOT1A3_TS006,ACZ81_00380,nhaC,1,kegg.orthology:K03315,-,unresolved,unresolved,none,,"nhaC; Na+:H+ antiporter, NhaC family",,importer,unknown,Energy production
HOT1A3_TS007,ACZ81_00385,cudT,1,kegg.orthology:K03451,-,betaine/carnitine,multi_substrate,confident,kegg_ko,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine; carnitine,importer,organic,Inorganic ion transport
HOT1A3_TS008,ACZ81_00430,,1,kegg.orthology:K16088,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,importer,inorganic,Inorganic ion transport
HOT1A3_TS009,ACZ81_00470,,1,,-,serine/threonine,multi_substrate,inferred,product,threonine/serine exporter family protein,serine; threonine,exporter,organic,Unknown
HOT1A3_TS010,ACZ81_00580;ACZ81_00585;ACZ81_00590,;sfuB;,3,kegg.orthology:K02012;kegg.orthology:K02011;kegg.orthology:K02010,SBP;PERM;ATP,iron(III),specific_compound,confident,kegg_ko,"afuA, fbpA; iron(III) transport system substrate-binding protein",,importer,inorganic,Inorganic ion transport
