locus_tag,gene_name,product,gene_category,contig,start,end,strand,role,ko_id,ko_name,ko_substrate,brite_leaf,tcdb_id,tcdb_name,substrate_call,resolution_level,organic_or_inorganic,substrate_source,substrate_confidence,substrate_evidence,substrate_options,sources
ACZ81_00080,trkH,TrkH family potassium uptake protein,Inorganic ion transport,NZ_CP012202.1,19020,20471,+,,kegg.orthology:K03498,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.38.1,2.A.38.1,potassium,specific_compound,inorganic,kegg_ko_keyword,inferred,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",,brite;kegg;tcdb;func
ACZ81_00085,trkA,Trk system potassium transporter TrkA,Inorganic ion transport,NZ_CP012202.1,20587,21966,-,SBP,kegg.orthology:K03499,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.38.1,2.A.38.1,potassium,specific_compound,inorganic,kegg_ko_keyword,inferred,"trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",,brite;kegg;tcdb;func
ACZ81_00110,dprA,DNA-processing protein DprA,Replication and repair,NZ_CP012202.1,26151,27260,+,,kegg.orthology:K04096,smf; DNA processing protein,,,,,unresolved,unresolved,,,none,smf; DNA processing protein,,func
ACZ81_00295,,hypothetical protein,Inorganic ion transport,NZ_CP012202.1,63632,64105,+,SBP,,,,,,,phosphate,specific_compound,inorganic,function_description,inferred,"COG0226 ABC-type phosphate transport system, periplasmic component",,func
ACZ81_00360,cyc,c-type cytochrome,Energy production,NZ_CP012202.1,78700,79107,-,,kegg.orthology:K02277,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,,tcdb:3.D.4.4,3.D.4.4,unresolved,unresolved,,,none,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:7.1.1.9]",,tcdb
ACZ81_00380,nhaC,Na+/H+ antiporter NhaC,Energy production,NZ_CP012202.1,81232,82644,+,,kegg.orthology:K03315,"nhaC; Na+:H+ antiporter, NhaC family",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.35,The NhaC Na+:H+ Antiporter (NhaC) Family,unresolved,unresolved,,,none,"nhaC; Na+:H+ antiporter, NhaC family",,brite;kegg;tcdb;func
ACZ81_00385,cudT,BCCT family transporter,Inorganic ion transport,NZ_CP012202.1,82748,84517,+,,kegg.orthology:K03451,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine/carnitine,,tcdb:2.A.15,The Betaine/Carnitine/Choline Transporter (BCCT) Family,betaine/carnitine,multi_substrate,organic,kegg_ko,confident,"TC.BCT; betaine/carnitine transporter, BCCT family",betaine; carnitine,kegg;tcdb;func
ACZ81_00430,,TonB-dependent siderophore receptor,Inorganic ion transport,NZ_CP012202.1,93669,95762,+,,kegg.orthology:K16088,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,Pores ion channels [TC:1],tcdb:1.B.14.1.10,1.B.14.1.10,iron/siderophore,specific_compound,inorganic,kegg_ko_keyword,inferred,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid",,brite;tcdb;func
ACZ81_00470,,threonine/serine exporter family protein,Unknown,NZ_CP012202.1,103155,104381,-,,,,,,,,serine/threonine,multi_substrate,organic,product,inferred,threonine/serine exporter family protein,serine; threonine,func
ACZ81_00580,,extracellular solute-binding protein,Inorganic ion transport,NZ_CP012202.1,127152,128186,+,SBP,kegg.orthology:K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuA, fbpA; iron(III) transport system substrate-binding protein",,brite;kegg;tcdb;func
