locus_tag,strain,route,product,value,og_group_id,og_level,og_product
MIT1002_01157,Alteromonas macleodii MIT1002,vesicle,TonB-dependent receptor domain-containing protein,13.3,eggnog:4651V@72275,Alteromonadaceae,TonB-dependent receptor
MIT1002_03533,Alteromonas macleodii MIT1002,vesicle,elongation factor Tu,6.9,eggnog:4651Q@72275,Alteromonadaceae,elongation factor Tu
MIT1002_03495,Alteromonas macleodii MIT1002,vesicle,TonB-dependent receptor,5.7,eggnog:46A4N@72275,Alteromonadaceae,TonB-dependent receptor
MIT1002_01163,Alteromonas macleodii MIT1002,vesicle,DUF3450 domain-containing protein,2.1,eggnog:4643A@72275,Alteromonadaceae,DUF3450 domain-containing protein
MIT1002_03599,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L5,1.9,eggnog:464A7@72275,Alteromonadaceae,50S ribosomal protein L5
MIT1002_01164,Alteromonas macleodii MIT1002,vesicle,MotA/TolQ/ExbB proton channel family protein,1.8,eggnog:4641Y@72275,Alteromonadaceae,MotA/TolQ/ExbB proton channel family protein
MIT1002_03802,Alteromonas macleodii MIT1002,vesicle,OmpA family protein,1.7,eggnog:466H7@72275,Alteromonadaceae,OmpA family protein
MIT1002_00601,Alteromonas macleodii MIT1002,vesicle,esterase-like activity of phytase family protein,1.6,eggnog:1PGTX@1224,Proteobacteria,esterase-like activity of phytase family protein
MIT1002_04113,Alteromonas macleodii MIT1002,vesicle,F0F1 ATP synthase subunit beta,1.5,eggnog:465I5@72275,Alteromonadaceae,F0F1 ATP synthase subunit beta
MIT1002_01950,Alteromonas macleodii MIT1002,vesicle,ADP-forming succinate--CoA ligase subunit beta,1.4,eggnog:46480@72275,Alteromonadaceae,ADP-forming succinate--CoA ligase subunit beta
MIT1002_00390,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S3,1.1,eggnog:46670@72275,Alteromonadaceae,30S ribosomal protein S3
MIT1002_01524,Alteromonas macleodii MIT1002,vesicle,elongation factor G,1.1,eggnog:464WS@72275,Alteromonadaceae,elongation factor G
MIT1002_03183,Alteromonas macleodii MIT1002,vesicle,glutamate--ammonia ligase,0.9,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
MIT1002_04115,Alteromonas macleodii MIT1002,vesicle,F0F1 ATP synthase subunit alpha,0.9,eggnog:464BU@72275,Alteromonadaceae,F0F1 ATP synthase subunit alpha
MIT1002_01004,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S2,0.8,eggnog:46443@72275,Alteromonadaceae,30S ribosomal protein S2
MIT1002_01947,Alteromonas macleodii MIT1002,vesicle,succinate dehydrogenase iron-sulfur subunit,0.8,eggnog:4658G@72275,Alteromonadaceae,succinate dehydrogenase iron-sulfur subunit
MIT1002_00670,Alteromonas macleodii MIT1002,vesicle,outer membrane channel protein TolC,0.7,eggnog:46448@72275,Alteromonadaceae,outer membrane channel protein TolC
MIT1002_03002,Alteromonas macleodii MIT1002,vesicle,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,0.7,eggnog:464DV@72275,Alteromonadaceae,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
MIT1002_03586,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S4,0.7,eggnog:464TW@72275,Alteromonadaceae,30S ribosomal protein S4
MIT1002_03735,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L10,0.7,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
MIT1002_01951,Alteromonas macleodii MIT1002,vesicle,succinate--CoA ligase subunit alpha,0.6,eggnog:4652M@72275,Alteromonadaceae,succinate--CoA ligase subunit alpha
MIT1002_03001,Alteromonas macleodii MIT1002,vesicle,dihydrolipoyl dehydrogenase,0.6,eggnog:463YH@72275,Alteromonadaceae,dihydrolipoyl dehydrogenase
MIT1002_03492,Alteromonas macleodii MIT1002,vesicle,malate dehydrogenase,0.6,eggnog:463ZA@72275,Alteromonadaceae,malate dehydrogenase
MIT1002_00385,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L4,0.5,eggnog:464IZ@72275,Alteromonadaceae,50S ribosomal protein L4
MIT1002_00393,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S17,0.5,eggnog:467RN@72275,Alteromonadaceae,30S ribosomal protein S17
MIT1002_00516,Alteromonas macleodii MIT1002,vesicle,thioredoxin TrxA,0.5,eggnog:467AS@72275,Alteromonadaceae,thioredoxin TrxA
MIT1002_00951,Alteromonas macleodii MIT1002,vesicle,phosphopyruvate hydratase,0.5,eggnog:464ZZ@72275,Alteromonadaceae,phosphopyruvate hydratase
