locus_tag,gene_name,product,gene_category,log2fc,padj,expression_status,timepoint
EZ55_03523,,hypothetical protein,Unknown,-3.428038242,2.94e-06,significant_down,mid-exponential
EZ55_03522,katB,catalase,Energy production,-2.72191529,4.16e-06,significant_down,mid-exponential
EZ55_00390,glnK,P-II family nitrogen regulator,Transcription,-2.702353323,2.63e-05,significant_down,mid-exponential
EZ55_03827,,TonB-dependent receptor,Inorganic ion transport,2.179284548,1.39e-06,significant_up,mid-exponential
EZ55_00391,amtB,ammonium transporter,Inorganic ion transport,-2.172232596,1.05e-05,significant_down,mid-exponential
EZ55_00433,katA,catalase,Energy production,-2.036643339,0.000152382,significant_down,mid-exponential
EZ55_02634,,HvfA family oxazolone/thioamide-modified RiPP metallophore,Unknown,-2.029912154,0.000507593,significant_down,mid-exponential
EZ55_00416,,TorF family putative porin,Unknown,-1.864663402,6.68e-05,significant_down,mid-exponential
EZ55_03366,,endonuclease/exonuclease/phosphatase family protein,Replication and repair,1.745074693,0.001150184,significant_up,mid-exponential
EZ55_02929,,marine proteobacterial sortase target protein,Unknown,-1.716646228,0.000885169,significant_down,mid-exponential
EZ55_03498,actP,sodium:solute symporter family protein,Unknown,1.706009247,0.000122122,significant_up,mid-exponential
EZ55_02117,fecA,TonB-dependent receptor family protein,Inorganic ion transport,1.699225191,2.98e-12,significant_up,mid-exponential
EZ55_03499,,DUF4212 domain-containing protein,Unknown,1.695495047,0.000208008,significant_up,mid-exponential
EZ55_04002,,DUF748 domain-containing protein,Cell wall and membrane,1.680037561,3.08e-08,significant_up,mid-exponential
EZ55_00896,hutU,urocanate hydratase,Amino acid metabolism,-1.676390919,6.9e-06,significant_down,mid-exponential
EZ55_02006,,TonB-dependent receptor,Inorganic ion transport,-1.676183586,0.00039769,significant_down,mid-exponential
EZ55_02372,maoP,DUF413 domain-containing protein,Unknown,1.673511296,0.017059472,significant_up,mid-exponential
EZ55_00897,hutH,histidine ammonia-lyase,Amino acid metabolism,-1.671933713,7.53e-06,significant_down,mid-exponential
EZ55_02919,pfpI,type 1 glutamine amidotransferase domain-containing protein,Unknown,1.667434987,0.002098743,significant_up,mid-exponential
EZ55_02930,srtA,class GN sortase,Cell wall and membrane,-1.666655636,0.002030595,significant_down,mid-exponential
EZ55_03376,,EF-hand domain-containing protein,Unknown,1.666392261,0.003205175,significant_up,mid-exponential
EZ55_01444,,pyridoxamine 5^-phosphate oxidase family protein,Unknown,1.654548167,0.000173525,significant_up,mid-exponential
EZ55_00205,galK,galactokinase,Carbohydrate metabolism,-1.652555679,0.000339265,significant_down,mid-exponential
EZ55_03258,,hypothetical protein,Unknown,1.641923405,1e-05,significant_up,mid-exponential
EZ55_03095,osmC,OsmC family protein,Post-translational modification,1.614630997,0.001174314,significant_up,mid-exponential
EZ55_00060,,acyloxyacyl hydrolase,Cell wall and membrane,1.613662678,0.000106005,significant_up,mid-exponential
EZ55_03508,,DcaP family trimeric outer membrane transporter,Cell wall and membrane,1.590894821,6.32e-05,significant_up,mid-exponential
EZ55_04342,,MauE/DoxX family redox-associated membrane protein,Post-translational modification,1.569888663,0.000105238,significant_up,mid-exponential
EZ55_02165,,DoxX family protein,Unknown,1.561703947,0.028939129,significant_up,mid-exponential
EZ55_03363,,porin family protein,Cell wall and membrane,1.55514963,0.005898777,significant_up,mid-exponential
EZ55_01922,,hemerythrin domain-containing protein,Unknown,1.553874487,0.002544444,significant_up,mid-exponential
EZ55_01810,,2OG-Fe(II) oxygenase,Post-translational modification,1.549089093,0.020440822,significant_up,mid-exponential
EZ55_02884,,hypothetical protein,Unknown,-1.538205888,0.001991484,significant_down,mid-exponential
EZ55_04087,,YqaA family protein,Unknown,1.531806541,2e-08,significant_up,mid-exponential
EZ55_01931,proB,glutamate 5-kinase,Amino acid metabolism,-1.518647246,0.000146884,significant_down,mid-exponential
EZ55_00595,sodN,"superoxide dismutase, Ni",Unknown,1.516710776,7.16e-08,significant_up,mid-exponential
EZ55_01620,,CPBP family intramembrane glutamic endopeptidase,Unknown,1.508387918,2.97e-11,significant_up,mid-exponential
EZ55_02423,gntA,guanitoxin biosynthesis heme-dependent pre-guanitoxin N-hydroxylase GntA,Unknown,1.493034067,0.000436644,significant_up,mid-exponential
EZ55_02591,,EF-hand domain-containing protein,Unknown,1.486576097,0.002793425,significant_up,mid-exponential
EZ55_02586,,hypothetical protein,Unknown,1.481514999,0.023828913,significant_up,mid-exponential
EZ55_04283,,alkane 1-monooxygenase,Lipid metabolism,1.477844463,0.000166326,significant_up,mid-exponential
EZ55_02384,,hypothetical protein,Unknown,1.477497234,0.001035594,significant_up,mid-exponential
EZ55_02014,,glycoside hydrolase family 13 protein,Carbohydrate metabolism,-1.466843759,0.000133062,significant_down,mid-exponential
EZ55_02164,,DODA-type extradiol aromatic ring-opening family dioxygenase,Unknown,1.463478094,0.001742036,significant_up,mid-exponential
EZ55_02918,,SDR family oxidoreductase,Unknown,1.461857509,0.001876385,significant_up,mid-exponential
EZ55_04065,ilvC,ketol-acid reductoisomerase,Amino acid metabolism,1.458053294,0.002537885,significant_up,mid-exponential
EZ55_00312,cheD,chemoreceptor glutamine deamidase CheD,Cell motility,1.457810451,2.3e-06,significant_up,mid-exponential
EZ55_02298,dat,D-amino acid aminotransferase,Amino acid metabolism,-1.453644712,2.36e-05,significant_down,mid-exponential
EZ55_03008,,SIMPL domain-containing protein,Unknown,-1.446655234,0.000424476,significant_down,mid-exponential
EZ55_04303,,radical SAM protein,Unknown,1.443649381,3.88e-07,significant_up,mid-exponential
EZ55_00310,aer2,methyl-accepting chemotaxis protein,Signal transduction,1.425726721,2.97e-07,significant_up,mid-exponential
EZ55_00161,yacH,DUF3300 domain-containing protein,Unknown,-1.406938212,0.006720357,significant_down,mid-exponential
EZ55_00907,,PA2778 family cysteine peptidase,Cell motility,1.404008944,0.000185366,significant_up,mid-exponential
EZ55_01815,ahpF,alkyl hydroperoxide reductase subunit F,Post-translational modification,-1.392737362,0.007468304,significant_down,mid-exponential
