arm,reference_class,tier,n,median_pct,mean_pct
400,candidate,single-gene,5,0.8257756563245824,0.7799522673031027
400,candidate,multi-subunit,0,,
400,control-ABC,single-gene,0,,
400,control-ABC,multi-subunit,1,0.5966587112171837,0.5966587112171837
400,"iron-TonB (REPORTED, not a control)",all,4,0.6324582338902147,0.6378281622911695
800,candidate,single-gene,3,0.22872340425531915,0.4804964539007092
800,candidate,multi-subunit,0,,
800,control-ABC,single-gene,0,,
800,control-ABC,multi-subunit,1,0.16489361702127658,0.16489361702127658
800,"iron-TonB (REPORTED, not a control)",all,3,0.39361702127659576,0.3120567375886525
