system_id,module_id,reference_class,tier,substrate,carrier_family,n_present,subunit_count,system_percentile
ACZ81_S0023,candidate::resolved::dipeptide,candidate,multi-subunit,dipeptide,ABC-subunit,5,5,0.8023815556118571
ACZ81_S0001,candidate::unresolved::ACZ81_S0001,candidate,multi-subunit,unresolved,APC,2,2,0.26463136559412215
ACZ81_S0047,candidate::resolved::peptide/nickel,candidate,multi-subunit,peptide/nickel,ABC-subunit,4,4,0.2128198631872308
ACZ81_S0572,candidate::resolved::carbohydrate (MFS),candidate,single-gene,carbohydrate (MFS),MFS-sugar,1,1,0.9992399290600456
ACZ81_S0144,candidate::resolved::benzoate membrane,candidate,single-gene,benzoate membrane,secondary-carrier-organic,1,1,0.9972130732201672
ACZ81_S0254,"candidate::resolved::di-/tricarboxylate (citrate, CitMHS)",candidate,single-gene,"di-/tricarboxylate (citrate, CitMHS)",gluconate/organic-acid,1,1,0.9941727894603496
ACZ81_S0483,candidate::resolved::L-fucose:H+,candidate,single-gene,L-fucose:H+,secondary-carrier-organic,1,1,0.9701038763617937
ACZ81_S0484,candidate::resolved::carbohydrate (non-specific porin),candidate,single-gene,carbohydrate (non-specific porin),carbohydrate-porin,1,1,0.9473017481631619
ACZ81_S0109,candidate::resolved::nucleoside,candidate,single-gene,nucleoside,nucleoside-Nup,1,1,0.9262731188244236
ACZ81_S0339,candidate::resolved::solute:Na+,candidate,single-gene,solute:Na+,SSS,1,1,0.9151254117050924
ACZ81_S0505,candidate::resolved::choline/glycine/proline betaine,candidate,single-gene,choline/glycine/proline betaine,BCCT,1,1,0.8877628578667343
ACZ81_S0450,candidate::unresolved::ACZ81_S0450,candidate,single-gene,unresolved,APC,1,1,0.8799087914872055
ACZ81_S0539,candidate::resolved::amino acid,candidate,single-gene,amino acid,APC,1,1,0.8776285786673423
ACZ81_S0586,candidate::resolved::sugar MFS,candidate,single-gene,sugar MFS,secondary-carrier-organic,1,1,0.8520395236888776
ACZ81_S0534,candidate::resolved::concentrative nucleoside,candidate,single-gene,concentrative nucleoside,nucleoside-Nup,1,1,0.8069419812515835
