reference_class,module_id,substrate,carrier_family,broad,tier,n_systems,n_genes,module_percentile,p,q
candidate,candidate::resolved::dipeptide,dipeptide,ABC-subunit,False,multi-subunit,1,5,0.8023815556118571,0.058994100589941006,0.45228810452288104
candidate,candidate::unresolved::ACZ81_S0001,unresolved,APC,False,multi-subunit,1,2,0.26463136559412215,0.8616138386161384,0.9084091590840916
candidate,candidate::resolved::peptide/nickel,peptide/nickel,ABC-subunit,False,multi-subunit,1,4,0.2128198631872308,0.9394060593940606,0.9394060593940606
candidate,candidate::resolved::carbohydrate (MFS),carbohydrate (MFS),MFS-sugar,False,single-gene,1,1,0.9992399290600456,0.0012998700129987,0.0597940205979402
candidate,candidate::resolved::benzoate membrane,benzoate membrane,secondary-carrier-organic,False,single-gene,1,1,0.9972130732201672,0.0038996100389961006,0.08969103089691031
candidate,"candidate::resolved::di-/tricarboxylate (citrate, CitMHS)","di-/tricarboxylate (citrate, CitMHS)",gluconate/organic-acid,False,single-gene,1,1,0.9941727894603496,0.0065993400659934,0.10118988101189881
candidate,candidate::resolved::L-fucose:H+,L-fucose:H+,secondary-carrier-organic,False,single-gene,1,1,0.9701038763617937,0.030296970302969704,0.3484151584841516
candidate,candidate::resolved::carbohydrate (non-specific porin),carbohydrate (non-specific porin),carbohydrate-porin,False,single-gene,1,1,0.9473017481631619,0.05629437056294371,0.45228810452288104
candidate,candidate::resolved::nucleoside,nucleoside,nucleoside-Nup,False,single-gene,1,1,0.9262731188244236,0.07789221077892211,0.5118630994043453
candidate,candidate::unresolved::ACZ81_S0450,unresolved,APC,False,single-gene,1,1,0.8799087914872055,0.12378762123787622,0.6418913664189136
candidate,candidate::resolved::amino acid,amino acid,APC,False,single-gene,1,1,0.8776285786673423,0.1255874412558744,0.6418913664189136
candidate,candidate::resolved::solute:Na+,solute:Na+,SSS,True,single-gene,3,3,0.9151254117050924,0.23027697230276972,0.6485351464853515
candidate,candidate::resolved::choline/glycine/proline betaine,choline/glycine/proline betaine,BCCT,True,single-gene,2,2,0.8877628578667343,0.21207879212078792,0.6485351464853515
candidate,candidate::resolved::sugar MFS,sugar MFS,secondary-carrier-organic,True,single-gene,2,2,0.8520395236888776,0.27407259274072593,0.6485351464853515
candidate,candidate::resolved::concentrative nucleoside,concentrative nucleoside,nucleoside-Nup,False,single-gene,1,1,0.8069419812515835,0.1962803719628037,0.6485351464853515
candidate,candidate::resolved::short-chain fatty acids,short-chain fatty acids,gluconate/organic-acid,False,single-gene,1,1,0.7988345578920699,0.20537946205379462,0.6485351464853515
candidate,candidate::resolved::proton-dependent oligopeptide,proton-dependent oligopeptide,POT,False,single-gene,1,1,0.7955409171522675,0.2086791320867913,0.6485351464853515
candidate,candidate::resolved::purine nucleoside,purine nucleoside,nucleoside-Nup,False,single-gene,1,1,0.7846465670129212,0.21987801219878012,0.6485351464853515
candidate,candidate::resolved::APC family,APC family,APC,False,single-gene,1,1,0.7669115784139853,0.23677632236776322,0.6485351464853515
candidate,candidate::resolved::L-lactate,L-lactate,gluconate/organic-acid,False,single-gene,1,1,0.7620977957942742,0.2420757924207579,0.6485351464853515
candidate,candidate::resolved::gluconate:H+,gluconate:H+,gluconate/organic-acid,False,single-gene,1,1,0.7225741069166456,0.28257174282571745,0.6485351464853515
candidate,candidate::resolved::dicarboxylate/amino acid:cation (Na+ or H+),dicarboxylate/amino acid:cation (Na+ or H+),SLC13-dicarboxylate,False,single-gene,1,1,0.713199898657208,0.28987101289871015,0.6485351464853515
candidate,candidate::resolved::adenine/guanine/hypoxanthine,adenine/guanine/hypoxanthine,NCS-nucleobase,False,single-gene,1,1,0.6957182670382569,0.30816918308169183,0.6485351464853515
