locus_tag,gene_name,product,gene_category,log2fc,padj,expression_status,timepoint
ACZ81_16910,ankB,ankyrin repeat domain-containing protein,Unknown,-5.217624582655805,0.0056175485703953,significant_down,day 11
ACZ81_05680,slyA,MarR family winged helix-turn-helix transcriptional regulator,Transcription,-4.98527895129211,0.0131675437106262,significant_down,day 11
ACZ81_03615,,thermostable hemolysin,Unknown,-4.766532165434427,4.214544724101479e-06,significant_down,day 11
ACZ81_03610,,AMP-binding protein,Lipid metabolism,-4.177386507529768,7.951114470180855e-09,significant_down,day 11
ACZ81_14325,,retropepsin-like aspartic protease,Unknown,-4.169680775698811,0.0337741514905504,significant_down,day 11
ACZ81_03625,,TVP38/TMEM64 family protein,Unknown,-4.162120320611519,0.0002875594127704,significant_down,day 11
ACZ81_08845,ahpF,alkyl hydroperoxide reductase subunit F,Post-translational modification,-3.932744243772365,0.0103056546550742,significant_down,day 11
ACZ81_16155,,sulfite exporter TauE/SafE family protein,Unknown,-3.85724629445185,,significant_down,day 11
ACZ81_03645,,cupredoxin domain-containing protein,Unknown,-3.768583235984778,0.0094684606371376,significant_down,day 11
ACZ81_13940,suxA,TonB-dependent receptor,Cell wall and membrane,3.6379482193855273,0.0013644786708038,significant_up,day 11
ACZ81_18535,,TonB-dependent receptor,Inorganic ion transport,3.530194210223916,1.585228236269333e-07,significant_up,day 11
ACZ81_17120,,hypothetical protein,Unknown,3.528702401614769,7.685540113233018e-07,significant_up,day 11
ACZ81_18130,,MFS transporter,Carbohydrate metabolism,3.526747363806744,4.428092361680821e-06,significant_up,day 11
ACZ81_02025,katA,catalase,Energy production,-3.5213477020784123,0.0150606719699039,significant_down,day 11
ACZ81_20705,,MerR family transcriptional regulator,Transcription,-3.4945997123626777,0.0003250298820237,significant_down,day 11
ACZ81_17660,hslV,ATP-dependent protease subunit HslV,Post-translational modification,-3.4207742619921286,0.0002524571724472,significant_down,day 11
ACZ81_18135,ams,alpha-amylase family glycosyl hydrolase,Carbohydrate metabolism,3.3965269416191046,2.1335192305816683e-08,significant_up,day 11
ACZ81_00135,ompW,OmpW family outer membrane protein,Cell wall and membrane,-3.317135424448923,0.0525947232035927,not_significant,day 11
ACZ81_13955,,TonB-dependent receptor,Inorganic ion transport,3.2448569707765293,2.7065906010107834e-10,significant_up,day 11
ACZ81_16915,katB,catalase,Energy production,-3.2296275445583045,0.0500701648681704,not_significant,day 11
ACZ81_14330,,hypothetical protein,Unknown,3.191502303214146,2.1335192305816683e-08,significant_up,day 11
ACZ81_02340,dps,Dps family protein,Inorganic ion transport,-3.161250293227102,2.371789515272546e-05,significant_down,day 11
ACZ81_08990,,IS4 family transposase,Replication and repair,3.154542767783903,,significant_up,day 11
ACZ81_04720,,IS4 family transposase,Replication and repair,3.131030386838105,,significant_up,day 11
ACZ81_RS21260,,hypothetical protein,Unknown,3.1232104620566283,,significant_up,day 11
ACZ81_08360,VP2647,DUF2061 domain-containing protein,Unknown,-3.098094595991123,0.0044938630346157,significant_down,day 11
ACZ81_08840,ahpC,alkyl hydroperoxide reductase subunit C,Unknown,-3.026824645455829,0.0026458191745056,significant_down,day 11
ACZ81_19615,ilvC,ketol-acid reductoisomerase,Amino acid metabolism,-3.0242520127693173,0.0011562984830151,significant_down,day 11
ACZ81_20720,,DUF2933 domain-containing protein,Unknown,-3.012836594612879,0.0035390332408927,significant_down,day 11
