locus_tag,strain_short,substrates,tier,func_evidence,export_evidence
AMBAS45_12635,AD45,amide/C-N,A: degradative + exported,EC 3.5.2.6 (beta-lactamase),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_14145,AD45,amide/C-N,A: degradative + exported,EC 3.5.1.124 (protein deglycase),loc:Periplasmic
AMBAS45_01450,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.44 (protein-glutamine glutaminase),
AMBAS45_16620,AD45,amide/C-N,A: degradative + exported,"EC 3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds)",signal:Signal peptide (Sec/SPI)
AMBAS45_18235,AD45,amide/C-N,A: degradative + exported,EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),signal:Signal peptide (Sec/SPI)
AMBAS45_18815,AD45,amide/C-N,A: degradative + exported,EC 3.5.2.6 (beta-lactamase),signal:Signal peptide (Sec/SPI)
AMBAS45_03890,AD45,amide/C-N,A: degradative + exported,EC 3.5.1.26 (N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase),loc:Periplasmic;signal:TAT signal peptide (Tat/SPI)
AMBAS45_04475,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.42 (nicotinamide-nucleotide amidase),
AMBAS45_04675,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),
AMBAS45_07070,AD45,amide/C-N,"B: degradative, export uncertain",Pfam Carbon-nitrogen hydrolase,
AMBAS45_19615,AD45,amide/C-N,A: degradative + exported,"EC 3.5.-.- (Acting on carbon-nitrogen bonds, other than peptide bonds)",signal:Signal peptide (Sec/SPI)
AMBAS45_07675,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.2.17 (hydroxyisourate hydrolase),
AMBAS45_07760,AD45,amide/C-N,A: degradative + exported,EC 3.5.4.4 (adenosine deaminase),signal:Signal peptide (Sec/SPI)
AMBAS45_08080,AD45,amide/C-N,A: degradative + exported,EC 3.5.1.97 (acyl-homoserine-lactone acylase),loc:Periplasmic
AMBAS45_09505,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.4.5 (cytidine deaminase),
AMBAS45_09755,AD45,amide/C-N,A: degradative + exported,EC 3.5.1.97 (acyl-homoserine-lactone acylase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_11185,AD45,amide/C-N,"B: degradative, export uncertain",EC 3.5.2.9 (5-oxoprolinase (ATP-hydrolyzing)),
AMBAS45_02440,AD45,amide/C-N;carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds) | GO-MF peptidoglycan beta-N-acetylmuramidase activity",signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_15335,AD45,amide/C-N;protein/peptide,"B: degradative, export uncertain",EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase) | EC 3.5.1.28 (N-acetylmuramoyl-L-alanine amidase),
AMBAS45_08265,AD45,amide/C-N;protein/peptide,A: degradative + exported,EC 3.4.19.5 (beta-aspartyl-peptidase) | EC 3.5.1.1 (asparaginase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
AMBAS45_09480,AD45,amide/C-N;protein/peptide,A: degradative + exported,EC 3.5.1.- (In linear amides) | GO-MF metallocarboxypeptidase activity,signal:Signal peptide (Sec/SPI)
AMBAS45_11830,AD45,carbohydrate,A: degradative + exported,EC 3.2.2.9 (adenosylhomocysteine nucleosidase),signal:Signal peptide (Sec/SPI)
AMBAS45_11950,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.172 (unsaturated rhamnogalacturonyl hydrolase),signal:Signal peptide (Sec/SPI)
